,English Name,French Name
0,Canada Border Services Agency,Agence des services frontaliers du Canada
1,Canada Emission Reduction Incentives Agency,Agence canadienne pour l’incitation à la réduction des émissions
2,Canada Employment Insurance Commission,Commission de l’assurance-emploi du Canada
3,Canada Revenue Agency,Agence du revenu du Canada
4,Canada School of Public Service,École de la fonction publique du Canada
5,Canadian Accessibility Standards Development Organization ,Organisation canadienne d’élaboration de normes d’accessibilité
6,Canadian Centre for Occupational Health and Safety,Centre canadien d’hygiène et de sécurité au travail
7,Canadian Energy Regulator,Régie canadienne de l’énergie
8,Canadian Food Inspection Agency,Agence canadienne d’inspection des aliments
9,Canadian High Arctic Research Station,Station canadienne de recherche dans l’Extrême-Arctique
10,Canadian Institutes of Health Research,Instituts de recherche en santé du Canada
11,Canadian Nuclear Safety Commission,Commission canadienne de sûreté nucléaire
12,Canadian Transportation Accident Investigation and Safety Board,Bureau canadien d’enquête sur les accidents de transport et de la sécurité des transports
13,Invest in Canada Hub,Investir au Canada
14,Law Commission of Canada,Commission du droit du Canada
15,The National Battlefields Commission,Commission des champs de bataille nationaux
16,National Research Council of Canada,Conseil national de recherches du Canada
17,Natural Sciences and Engineering Research Council,Conseil de recherches en sciences naturelles et en génie
18,Parks Canada Agency,Agence Parcs Canada
19,Social Sciences and Humanities Research Council,Conseil de recherches en sciences humaines
