,English Division,French Division
0,Administrative Tribunals Support Service of Canada,Service canadien d’appui aux tribunaux administratifs
1,Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique
2,Canada Water Agency,Agence canadienne de l’eau
3,Canadian Grain Commission,Commission canadienne des grains
4,Canadian Human Rights Commission,Commission canadienne des droits de la personne
5,Canadian Intergovernmental Conference Secretariat,Secrétariat des conférences intergouvernementales canadiennes
6,Canadian Northern Economic Development Agency,Agence canadienne de développement économique du Nord
7,Canadian Radio-television and Telecommunications Commission,Conseil de la radiodiffusion et des télécommunications canadiennes
8,Canadian Security Intelligence Service,Service canadien du renseignement de sécurité
9,Canadian Space Agency,Agence spatiale canadienne
10,Canadian Transportation Agency,Office des transports du Canada
11,Civilian Review and Complaints Commission for the Royal Canadian Mounted Police,Commission civile d’examen et de traitement des plaintes relatives à la Gendarmerie royale du Canada
12,Communications Security Establishment,Centre de la sécurité des télécommunications
13,Copyright Board,Commission du droit d’auteur
14,Correctional Service of Canada,Service correctionnel du Canada
15,Courts Administration Service,Service administratif des tribunaux judiciaires 
16,Economic Development Agency of Canada for the Regions of Quebec,Agence de développement économique du Canada pour les régions du Québec
17,Federal Economic Development Agency for Northern Ontario,Agence fédérale de développement économique pour le Nord de l’Ontario
18,Federal Economic Development Agency for Southern Ontario,Agence fédérale de développement économique pour le Sud de l’Ontario
19,Financial Consumer Agency of Canada,Agence de la consommation en matière financière du Canada
20,Financial Transactions and Reports Analysis Centre of Canada,Centre d’analyse des opérations et déclarations financières du Canada
21,Immigration and Refugee Board,Commission de l’immigration et du statut de réfugié
22,Impact Assessment Agency of Canada,Agence canadienne d’évaluation d’impact
23,Leaders’ Debates Commission,Commission des débats des chefs
24,Library and Archives of Canada,Bibliothèque et Archives du Canada
25,Military Grievances External Review Committee,Comité externe d’examen des griefs militaires
26,Military Police Complaints Commission,Commission d’examen des plaintes concernant la police militaire
27,National Farm Products Council,Conseil national des produits agricoles
28,National Film Board,Office national du film
29,National Security and Intelligence Review Agency Secretariat,Secrétariat de l’Office de surveillance des activités en matière de sécurité nationale et de renseignement
30,Northern Pipeline Agency,Administration du pipe-line du Nord
31,Office of the Auditor General,Bureau du vérificateur général
32,Office of the Chief Electoral Officer,Bureau du directeur général des élections
33,Office of the Commissioner for Federal Judicial Affairs,Bureau du commissaire à la magistrature fédérale
34,Office of the Commissioner of Lobbying,Commissariat au lobbying
35,Office of the Commissioner of Official Languages,Commissariat aux langues officielles
36,Office of the Correctional Investigator of Canada,Bureau de l’enquêteur correctionnel du Canada
37,Office of the Director of Public Prosecutions,Bureau du directeur des poursuites pénales
38,Office of the Governor General’s Secretary,Bureau du secrétaire du gouverneur général
39,Office of the Intelligence Commissioner,Bureau du commissaire au renseignement
40,Office of the Public Sector Integrity Commissioner,Commissariat à l’intégrité du secteur public
41,Office of the Superintendent of Financial Institutions,Bureau du surintendant des institutions financières
42,Offices of the Information and Privacy Commissioners of Canada,Commissariats à l’information et à la protection de la vie privée du Canada
43,Pacific Economic Development Agency of Canada,Agence de développement économique du Pacifique Canada
44,Parole Board of Canada,Commission des libérations conditionnelles du Canada
45,Patented Medicine Prices Review Board,Conseil d’examen du prix des médicaments brevetés
46,Privy Council Office,Bureau du Conseil privé
47,Public Health Agency of Canada,Agence de la santé publique du Canada
48,Public Service Commission,Commission de la fonction publique
49,Registrar of the Supreme Court of Canada and that portion of the federal public administration appointed under subsection 12(2) of the Supreme Court Act,Registraire de la Cour suprême du Canada et le secteur de l’administration publique fédérale nommé en vertu du paragraphe 12(2) de la Loi sur la Cour suprême
50,Royal Canadian Mounted Police,Gendarmerie royale du Canada
51,Royal Canadian Mounted Police External Review Committee,Comité externe d’examen de la Gendarmerie royale du Canada
52,Secretariat of the National Security and Intelligence Committee of Parliamentarians,Secrétariat du Comité des parlementaires sur la sécurité nationale et le renseignement
53,Shared Services Canada,Services partagés Canada
54,Statistics Canada,Statistique Canada
55,Veterans Review and Appeal Board,Tribunal des anciens combattants (révision et appel)
