gc_orgID,Parent GC OrgID,Harmonized GC Name ,lead department,ministère responsable,gc_orgID.1
2222,2222,Agriculture and Agri-Food Canada,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada,2222.0
2246,2222,Canadian Grain Commission,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada,2222.0
2265,2222,Farm Products Council of Canada,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada,2222.0
3538,2222,Canadian Pari-Mutuel Agency,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada,2222.0
3615,2222,Canadian Dairy Commission,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada,2222.0
3616,2222,Farm Credit Canada,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada,2222.0
3679,2222,Canada Agricultural Review Tribunal,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada,2222.0
2223,2223,Canadian Heritage,Canadian Heritage,Patrimoine canadien,2223.0
2262,2223,Library and Archives Canada,Canadian Heritage,Patrimoine canadien,2223.0
2266,2223,National Film Board,Canadian Heritage,Patrimoine canadien,2223.0
2311,2223,The National Battlefields Commission,Canadian Heritage,Patrimoine canadien,2223.0
2396,2223,Canadian Radio-television and Telecommunications Commission,Canadian Heritage,Patrimoine canadien,2223.0
3534,2223,Canadian Conservation Institute,Canadian Heritage,Patrimoine canadien,2223.0
3536,2223,Canadian Heritage Information Network,Canadian Heritage,Patrimoine canadien,2223.0
3618,2223,Canada Council for the Arts,Canadian Heritage,Patrimoine canadien,2223.0
3619,2223,Canadian Broadcasting Corporation,Canadian Heritage,Patrimoine canadien,2223.0
3620,2223,Canadian Museum for Human Rights,Canadian Heritage,Patrimoine canadien,2223.0
3621,2223,Canadian Museum of History,Canadian Heritage,Patrimoine canadien,2223.0
3622,2223,Canadian Museum of Immigration at Pier 21,Canadian Heritage,Patrimoine canadien,2223.0
3623,2223,Canadian Museum of Nature,Canadian Heritage,Patrimoine canadien,2223.0
3624,2223,Canadian Race Relations Foundation,Canadian Heritage,Patrimoine canadien,2223.0
3625,2223,National Arts Centre Corporation,Canadian Heritage,Patrimoine canadien,2223.0
3626,2223,National Gallery of Canada,Canadian Heritage,Patrimoine canadien,2223.0
3627,2223,Canada Science and Technology Museum,Canadian Heritage,Patrimoine canadien,2223.0
3629,2223,Telefilm Canada,Canadian Heritage,Patrimoine canadien,2223.0
3682,2223,Canadian Cultural Property Export Review Board,Canadian Heritage,Patrimoine canadien,2223.0
2230,2230,Crown-Indigenous Relations and Northern Affairs Canada,Crown-Indigenous Relations and Northern Affairs Canada,Relations Couronne-Autochtones et Affaires du Nord Canada,2230.0
2318,2230,Polar Knowledge Canada,Crown-Indigenous Relations and Northern Affairs Canada,Relations Couronne-Autochtones et Affaires du Nord Canada,2230.0
3541,2230,Indian Oil and Gas Canada,Crown-Indigenous Relations and Northern Affairs Canada,Relations Couronne-Autochtones et Affaires du Nord Canada,2230.0
