RGOriginalName,rgnumber,MatchedName,MatchScore,gc_orgID,Organization Legal Name English
Offices of the Information and Privacy Commissioners of Canada,96,,86,0,
Offices of the Information and Privacy Commissioners of Canada,96,,86,0,
Offices of the Information and Privacy Commissioners of Canada,96,,86,0,
Administrative Tribunals Support Service of Canada,170,Administrative Tribunals Support Service of Canada,100,2297,
Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,100,2244,
Atomic Energy of Canada Limited,41,Atomic Energy of Canada Limited,100,3649,
Office of Infrastructure of Canada,142,"Department of Housing, Infrastructure and Communities",86,2269,
Canada Border Services Agency,85,Canada Border Services Agency,100,2300,
Canada Council for the Arts,135,Canada Council for the Arts,100,3618,
Canada Mortgage and Housing Corporation (Crown Corporation),91,Canada Mortgage and Housing Corporation,90,3631,
Canada Post Corporation,127,Canada Post Corporation,100,3651,
Canada Revenue Agency,130,Canada Revenue Agency,100,2303,
Canada School of Public Service,52,Canada School of Public Service,100,2304,
Canadian Accessibility Standards Development Organization,199,Canadian Accessibility Standards Development Organization,100,2319,
Canadian Air Transport Security Authority,34,Canadian Air Transport Security Authority,100,3655,
Canadian Broadcasting Corporation,135,Canadian Broadcasting Corporation,100,3619,
Canadian Centre for Occupational Health and Safety,100,Canadian Centre for Occupational Health and Safety,100,2305,
Canadian Commercial Corporation,5,Canadian Commercial Corporation,100,3639,
Canadian Dairy Commission,134,Canadian Dairy Commission,100,3615,
Canadian Energy Regulator,195,Canadian Energy Regulator,100,2312,
Canadian Food Inspection Agency,136,Canadian Food Inspection Agency,100,2306,
Canadian Grain Commission,133,Canadian Grain Commission,100,2246,
Canadian High Arctic Research Station,171,Canadian High Arctic Research Station,100,2318,
Canadian Human Rights Commission,75,Canadian Human Rights Commission,100,2247,
Canadian Institutes of Health Research,61,Canadian Institutes of Health Research,100,2307,
Canadian Intergovernmental Conference Secretariat,43,Canadian Intergovernmental Conference Secretariat,100,2248,
Canadian Museum for Human Rights,135,Canadian Museum for Human Rights,100,3620,
Canadian Museum of History,135,Canadian Museum of History,100,3621,
Canadian Museum of Immigration at Pier 21,135,Canadian Museum of Immigration at Pier 21,100,3622,
Canadian Museum of Nature,135,Canadian Museum of Nature,100,3623,
Canadian Northern Economic Development Agency,78,Canadian Northern Economic Development Agency,100,2249,
Canadian Nuclear Safety Commission,47,Canadian Nuclear Safety Commission,100,2308,
Canadian Race Relations Foundation,135,Canadian Race Relations Foundation,100,3624,
Canadian Radio-television and Telecommunications Commission,16,Canadian Radio-television and Telecommunications Commission,100,2396,
Canadian Security Intelligence Service,95,Canadian Security Intelligence Service,100,2250,
Canadian Space Agency,119,Canadian Space Agency,100,2251,
Canadian Tourism Commission,33,Canadian Tourism Commission,100,3647,
Canadian Transportation Accident Investigation and Safety Board,101,Canadian Transportation Accident Investigation and Safety Board,100,2309,
Canadian Transportation Agency,40,Canadian Transportation Agency,100,2252,
VIA HFR - VIA TGF Inc.,34,,86,3458,
Civilian Review and Complaints Commission for the Royal Canadian Mounted Police,88,Civilian Review and Complaints Commission for the Royal Canadian Mounted Police,100,2290,
Communications Security Establishment,165,Communications Security Establishment,100,2253,
Copyright Board,116,Copyright Board,100,2254,
Correctional Service of Canada,53,Correctional Service of Canada,100,2255,
Courts Administration Service,144,Courts Administration Service,100,2256,
Department for Women and Gender Equality,190,Department for Women and Gender Equality,100,2241,
Agriculture and Agri-Food (Department of),1,Department of Agriculture and Agri-Food,93,2222,
Department of Canadian Heritage,135,Department of Canadian Heritage,100,2223,
Citizenship and Immigration (Department of),50,Department of Citizenship and Immigration,93,2224,
Department of Crown-Indigenous Relations and Northern Affairs,42,Department of Crown-Indigenous Relations and Northern Affairs,100,2230,
Employment and Social Development (Department of),14,Department of Employment and Social Development,93,2229,
Finance (Department of),6,Department of Finance,91,2225,
Fisheries and Oceans (Department of),86,Department of Fisheries and Oceans,92,2226,
"Department of Foreign Affairs, Trade and Development",5,"Department of Foreign Affairs, Trade and Development",100,2227,
Health (Department of),22,Department of Health,90,2228,
Department of Indigenous Services,191,Department of Indigenous Services,100,2243,
Department of Industry,33,Department of Industry,100,2231,
Justice (Department of),13,Department of Justice,91,2232,
National Defence (Department of),18,Department of National Defence,92,2233,
Department of Natural Resources,41,Department of Natural Resources,100,2234,
Department of Public Safety and Emergency Preparedness,88,Department of Public Safety and Emergency Preparedness,100,2235,
Department of Public Works and Government Services,127,Department of Public Works and Government Services,100,2236,
Department of Transport,34,Department of Transport,100,2238,
Department of Veterans Affairs,21,Department of Veterans Affairs,100,2239,
Department of Western Economic Diversification,44,Department of Western Economic Diversification,100,2240,
Department of the Environment,7,Department of the Environment,100,2237,
Economic Development Agency of Canada for the Regions of Quebec,12,Economic Development Agency of Canada for the Regions of Quebec,100,2257,
Export Development Canada (Crown Corporation),123,Export Development Canada,90,3640,
Federal Economic Development Agency for Northern Ontario,200,Federal Economic Development Agency for Northern Ontario,100,2299,
Federal Economic Development Agency for Southern Ontario,62,Federal Economic Development Agency for Southern Ontario,100,2258,
Financial Consumer Agency of Canada,141,Financial Consumer Agency of Canada,100,2259,
Financial Transactions and Reports Analysis Centre of Canada,139,Financial Transactions and Reports Analysis Centre of Canada,100,2260,
House of Commons,67,House of Commons,100,3428,
Immigration and Refugee Board,32,Immigration and Refugee Board,100,2261,
Impact Assessment Agency of Canada,7,Impact Assessment Agency of Canada,100,2245,
International Development Research Centre,5,International Development Research Centre,100,3641,
International Joint Commission (Canadian Section),24,International Joint Commission (Canadian Section),100,3407,
Invest in Canada Hub,180,Invest in Canada Hub,100,2317,
Law Commission of Canada,131,Law Commission of Canada,100,2310,
Leaders' Debates Commission,193,Leaders' Debates Commission,96,2296,
Library and Archives of Canada,145,Library and Archives of Canada,100,2262,
Library of Parliament,17,Library of Parliament,100,3429,
Marine Atlantic Inc.,34,Marine Atlantic Inc.,100,3658,
Military Grievances External Review Committee,138,Military Grievances External Review Committee,100,2263,
Military Police Complaints Commission,137,Military Police Complaints Commission,100,2264,
National Arts Centre Corporation,135,National Arts Centre Corporation,100,3625,
National Capital Commission,127,National Capital Commission,100,3653,
National Film Board,39,National Film Board,100,2266,
National Gallery of Canada,135,National Gallery of Canada,100,3626,
National Museum of Science and Technology,135,National Museum of Science and Technology,100,3627,
National Research Council of Canada,35,National Research Council of Canada,100,2313,
National Security and Intelligence Review Agency Secretariat,196,National Security and Intelligence Review Agency Secretariat,100,2291,
Natural Sciences and Engineering Research Council,27,Natural Sciences and Engineering Research Council,100,2314,
Northern Pipeline Agency,66,Northern Pipeline Agency,100,2268,
Office of the Auditor General,2,Office of the Auditor General,100,2270,
Office of the Chief Electoral Officer,15,Office of the Chief Electoral Officer,100,2271,
Office of the Commissioner for Federal Judicial Affairs,51,Office of the Commissioner for Federal Judicial Affairs,100,2272,
Office of the Commissioner of Lobbying,154,Office of the Commissioner of Lobbying,100,2273,
Office of the Commissioner of Official Languages,76,Office of the Commissioner of Official Languages,100,2274,
Office of the Conflict of Interest and Ethics Commissioner,147,Office of the Conflict of Interest and Ethics Commissioner,100,3430,
Office of the Correctional Investigator of Canada,88,Office of the Correctional Investigator of Canada,100,2276,
Office of the Director of Public Prosecutions,19,Office of the Director of Public Prosecutions,100,2277,
Office of the Governor General's Secretary,8,Office of the Governor General's Secretary,100,2278,
Office of the Intelligence Commissioner,197,Office of the Intelligence Commissioner,100,2275,
Office of the Parliamentary Budget Officer,183,Office of the Parliamentary Budget Officer,100,3433,
Office of the Public Sector Integrity Commissioner,46,Office of the Public Sector Integrity Commissioner,100,2279,
Office of the Superintendent of Financial Institutions,11,Office of the Superintendent of Financial Institutions,100,2280,
Pacific Economic Development Agency of Canada,44,Pacific Economic Development Agency of Canada,100,2298,
Parks Canada Agency,124,Parks Canada Agency,100,2315,
Parliamentary Protective Service,176,Parliamentary Protective Service,100,3434,
Parole Board of Canada,57,Parole Board of Canada,100,2267,
Patented Medicine Prices Review Board,109,Patented Medicine Prices Review Board,100,2283,
Payroll System General Ledger,79,Payroll System General Ledger,100,3548,
Privy Council Office,25,Privy Council Office,100,2284,
Public Health Agency of Canada,148,Public Health Agency of Canada,100,2285,
Public Service Commission,4,Public Service Commission,100,2286,
Public Service Superannuation,87,Public Service Superannuation,100,3549,
Registrar of the Supreme Court of Canada,80,Registrar of the Supreme Court of Canada,100,2287,
Royal Canadian Mounted Police,30,Royal Canadian Mounted Police,100,2288,
Royal Canadian Mounted Police External Review Committee,88,Royal Canadian Mounted Police External Review Committee,100,2289,
Secretariat of the National Security and Intelligence Committee of Parliamentarians,192,Secretariat of the National Security and Intelligence Committee of Parliamentarians,100,2295,
Senate,9,Senate,100,3432,
Shared Services Canada,163,Shared Services Canada,100,2292,
Social Sciences and Humanities Research Council,63,Social Sciences and Humanities Research Council,100,2316,
Standards Council of Canada,33,Standards Council of Canada,100,3648,
Statistics Canada,54,Statistics Canada,100,2293,
Telefilm Canada,37,Telefilm Canada,100,3629,
The Federal Bridge Corporation Limited,34,The Federal Bridge Corporation Limited,100,3661,
The Jacques-Cartier and Champlain Bridges Inc.,142,The Jacques-Cartier and Champlain Bridges Inc.,100,3643,
The National Battlefields Commission,102,The National Battlefields Commission,100,2311,
Treasury Board Secretariat,56,Treasury Board Secretariat,100,2242,
VIA Rail Canada Inc.,34,VIA Rail Canada Inc.,100,3662,
Veterans Review and Appeal Board,21,Veterans Review and Appeal Board,100,2294,
Windsor-Detroit Bridge Authority,142,Windsor-Detroit Bridge Authority,100,3644,
Offices of the Information and Privacy Commissioners of Canada,96,Office of the Information Commissioner,0,2281,Office of the Information Commissioner
Offices of the Information and Privacy Commissioners of Canada,96,Office of the Information Commissioner,0,2281,Office of the Information Commissioner
Offices of the Information and Privacy Commissioners of Canada,96,Office of the Information Commissioner,0,2281,Office of the Information Commissioner
Offices of the Information and Privacy Commissioners of Canada,96,Office of the Privacy Commissioner of Canada,0,2282,Office of the Privacy Commissioner of Canada
Offices of the Information and Privacy Commissioners of Canada,96,Office of the Privacy Commissioner of Canada,0,2282,Office of the Privacy Commissioner of Canada
Offices of the Information and Privacy Commissioners of Canada,96,Office of the Privacy Commissioner of Canada,0,2282,Office of the Privacy Commissioner of Canada
