gc_orgID,Parent GC OrgID,Harmonized GC Name,lead_department,ministère_responsable,gc_orgID.1,lead department
2222,2222,Agriculture and Agri-Food Canada,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada,2222.0,Agriculture and Agri-Food Canada
2246,2222,Canadian Grain Commission,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada,2222.0,Agriculture and Agri-Food Canada
2265,2222,Farm Products Council of Canada,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada,2222.0,Agriculture and Agri-Food Canada
3538,2222,Canadian Pari-Mutuel Agency,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada,2222.0,Agriculture and Agri-Food Canada
3615,2222,Canadian Dairy Commission,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada,2222.0,Agriculture and Agri-Food Canada
3616,2222,Farm Credit Canada,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada,2222.0,Agriculture and Agri-Food Canada
3679,2222,Canada Agricultural Review Tribunal,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada,2222.0,Agriculture and Agri-Food Canada
2223,2223,Canadian Heritage,Canadian Heritage,Patrimoine canadien,2223.0,Canadian Heritage
2262,2223,Library and Archives Canada,Canadian Heritage,Patrimoine canadien,2223.0,Canadian Heritage
2266,2223,National Film Board,Canadian Heritage,Patrimoine canadien,2223.0,Canadian Heritage
2311,2223,The National Battlefields Commission,Canadian Heritage,Patrimoine canadien,2223.0,Canadian Heritage
2396,2223,Canadian Radio-television and Telecommunications Commission,Canadian Heritage,Patrimoine canadien,2223.0,Canadian Heritage
3534,2223,Canadian Conservation Institute,Canadian Heritage,Patrimoine canadien,2223.0,Canadian Heritage
3536,2223,Canadian Heritage Information Network,Canadian Heritage,Patrimoine canadien,2223.0,Canadian Heritage
3618,2223,Canada Council for the Arts,Canadian Heritage,Patrimoine canadien,2223.0,Canadian Heritage
3619,2223,Canadian Broadcasting Corporation,Canadian Heritage,Patrimoine canadien,2223.0,Canadian Heritage
3620,2223,Canadian Museum for Human Rights,Canadian Heritage,Patrimoine canadien,2223.0,Canadian Heritage
3621,2223,Canadian Museum of History,Canadian Heritage,Patrimoine canadien,2223.0,Canadian Heritage
3622,2223,Canadian Museum of Immigration at Pier 21,Canadian Heritage,Patrimoine canadien,2223.0,Canadian Heritage
3623,2223,Canadian Museum of Nature,Canadian Heritage,Patrimoine canadien,2223.0,Canadian Heritage
3624,2223,Canadian Race Relations Foundation,Canadian Heritage,Patrimoine canadien,2223.0,Canadian Heritage
3625,2223,National Arts Centre Corporation,Canadian Heritage,Patrimoine canadien,2223.0,Canadian Heritage
3626,2223,National Gallery of Canada,Canadian Heritage,Patrimoine canadien,2223.0,Canadian Heritage
3627,2223,National Museum of Science and Technology,Canadian Heritage,Patrimoine canadien,2223.0,Canadian Heritage
3629,2223,Telefilm Canada,Canadian Heritage,Patrimoine canadien,2223.0,Canadian Heritage
3682,2223,Canadian Cultural Property Export Review Board,Canadian Heritage,Patrimoine canadien,2223.0,Canadian Heritage
2230,2230,Crown-Indigenous Relations and Northern Affairs Canada,Crown-Indigenous Relations and Northern Affairs Canada,Relations Couronne-Autochtones et Affaires du Nord Canada,2230.0,Crown-Indigenous Relations and Northern Affairs Canada
2318,2230,Polar Knowledge Canada,Crown-Indigenous Relations and Northern Affairs Canada,Relations Couronne-Autochtones et Affaires du Nord Canada,2230.0,Crown-Indigenous Relations and Northern Affairs Canada
3541,2230,Indian Oil and Gas Canada,Crown-Indigenous Relations and Northern Affairs Canada,Relations Couronne-Autochtones et Affaires du Nord Canada,2230.0,Crown-Indigenous Relations and Northern Affairs Canada
2298,m0009,"Minister of Innovation, Science and Industry","Minister of Innovation, Science and Industry","Ministre de l’Innovation, des Sciences et de l’Industrie",,"Minister of Innovation, Science and Industry"
2229,2229,Employment and Social Development Canada,Employment and Social Development Canada,Emploi et Développement social Canada,2229.0,Employment and Social Development Canada
2302,2229,Canada Employment Insurance Commission,Employment and Social Development Canada,Emploi et Développement social Canada,2229.0,Employment and Social Development Canada
3632,2229,Social Security Tribunal,Employment and Social Development Canada,Emploi et Développement social Canada,2229.0,Employment and Social Development Canada
2234,2234,Natural Resources Canada,Natural Resources Canada,Ressources naturelles Canada,2234.0,Natural Resources Canada
2237,2237,Environment and Climate Change Canada,Environment and Climate Change Canada,Environnement et Changement climatique Canada,2237.0,Environment and Climate Change Canada
2245,2237,Impact Assessment Agency of Canada,Environment and Climate Change Canada,Environnement et Changement climatique Canada,2237.0,Environment and Climate Change Canada
2301,2237,Canada Emission Reduction Incentives Agency,Environment and Climate Change Canada,Environnement et Changement climatique Canada,2237.0,Environment and Climate Change Canada
2315,2237,Parks Canada,Environment and Climate Change Canada,Environnement et Changement climatique Canada,2237.0,Environment and Climate Change Canada
