RGOriginalName,MatchedName,MatchScore,ManualMatch,FinalMatch,GC OrgID_x,Organization Legal Name French_x,Updated Organization Legal Name English,GC OrgID_y,Organization Legal Name French_y,Updated GC OrgID,Updated Organization Legal Name French
Agriculture and Agri-Food (Department of),Department of Agriculture and Agri-Food,95,nan,nan,2222,Ministère de l’Agriculture et de l’Agroalimentaire,,,,,
Office of the Auditor General,Office of the Auditor General,100,nan,nan,2270,Bureau du vérificateur général,,,,,
Public Service Commission,Public Service Commission,100,nan,nan,2286,Commission de la fonction publique,,,,,
"Foreign Affairs, Trade and Development (Department of)","Department of Foreign Affairs, Trade and Development",95,nan,nan,2227,"Ministère des Affaires étrangères, du Commerce et du Développement",,,,,
Finance (Department of),Department of Finance,95,nan,nan,2225,Ministère des Finances,,,,,
Environment (Department of the),Department of the Environment,95,nan,nan,2237,Ministère de l'Environnement,,,,,
Office of the Governor General's Secretary,Office of the Governor General's Secretary,100,nan,nan,2278,Bureau du secrétaire du gouverneur général,,,,,
Senate,Senate,100,nan,nan,3432,Sénat,,,,,
Office of the Superintendent of Financial Institutions,Office of the Superintendent of Financial Institutions,100,nan,nan,2280,Bureau du surintendant des institutions financières,,,,,
Economic Development Agency of Canada for the Regions of Quebec,Economic Development Agency of Canada for the Regions of Quebec,100,nan,nan,2257,Agence de développement économique du Canada pour les régions du Québec,,,,,
Justice (Department of),Department of Justice,95,nan,nan,2232,Ministère de la Justice,,,,,
Employment and Social Development (Department of),Department of Employment and Social Development,95,nan,nan,2229,Ministère de l'Emploi et du Développement social,,,,,
Office of the Chief Electoral Officer,Office of the Chief Electoral Officer,100,nan,nan,2271,Bureau du directeur général des élections,,,,,
Canadian Radio-television and Telecommunications Commission,Canadian Radio-television and Telecommunications Commission,100,nan,nan,2396,Conseil de la radiodiffusion et des télécommunications canadiennes,,,,,
Library of Parliament,Library of Parliament,100,nan,nan,3429,Bibliothèque du Parlement,,,,,
National Defence (Department of),Department of National Defence,95,nan,nan,2233,Ministère de la Défense nationale,,,,,
Office of the Director of Public Prosecutions,Office of the Director of Public Prosecutions,100,nan,nan,2277,Bureau du directeur des poursuites pénales,,,,,
Veterans Affairs (Department of),Department of Veterans Affairs,95,nan,nan,2239,Ministère des Anciens Combattants,,,,,
Health (Department of),Department of Health,95,nan,nan,2228,Ministère de la Santé,,,,,
Atlantic Canada Opportunities Agency,Atlantic Canada Opportunities Agency,100,nan,nan,2244,Agence de promotion économique du Canada atlantique,,,,,
International Joint Commission (Canadian Section),International Joint Commission (Canadian Section),100,nan,nan,3407,Commission mixte internationale (section canadienne),,,,,
Privy Council Office,Privy Council Office,100,nan,nan,2284,Bureau du Conseil privé,,,,,
Natural Sciences and Engineering Research Council,Natural Sciences and Engineering Research Council,100,nan,nan,2314,Conseil de recherches en sciences naturelles et en génie,,,,,
Royal Canadian Mounted Police,Royal Canadian Mounted Police,100,nan,nan,2288,Gendarmerie royale du Canada,,,,,
Immigration and Refugee Board,Immigration and Refugee Board,100,nan,nan,2261,Commission de l’immigration et du statut de réfugié,,,,,
Industry (Department of),Department of Industry,95,nan,nan,2231,Ministère de l'Industrie,,,,,
Transport (Department of),Department of Transport,95,nan,nan,2238,Ministère des Transports,,,,,
National Research Council of Canada,National Research Council of Canada,100,nan,nan,2313,Conseil national de recherches du Canada,,,,,
Telefilm Canada,Telefilm Canada,100,nan,nan,3629,Téléfilm Canada,,,,,
Canada Border Services Agency - (Administered Activities),Canada Border Services Agency,90,nan,nan,2300,Agence des services frontaliers du Canada,,,,,
National Film Board,National Film Board,100,nan,nan,2266,Office national du film,,,,,
Canadian Transportation Agency,Canadian Transportation Agency,100,nan,nan,2252,Office des transports du Canada,,,,,
