Title,Precedence,Honorific Title,First Name,Last Name,Province / Territory,Start Date,End Date,minID,notes
Prime Minister,1,Right Hon.,Justin,Trudeau,,2015-11-04 10:45:00 a.m.,,m0001,
Minister of Agriculture and Agri-Food,2,Hon.,Lawrence,MacAulay,,2023-07-26 10:30:00 a.m.,,m0002,
Minister of Intergovernmental Affairs,3,Hon.,Dominic,LeBlanc,,2024-12-20 11:30:00 a.m.,,m0003,
Minister of Public Services and Procurement,4,Hon.,Jean-Yves,Duclos,,2023-07-26 10:30:00 a.m.,,m0004,
Minister of Foreign Affairs,5,Hon.,Mélanie,Joly,,2021-10-26 10:30:00 a.m.,,m0005,
"Minister of Fisheries, Oceans and the Canadian Coast Guard",6,Hon.,Diane,Lebouthillier,,2023-07-26 10:30:00 a.m.,,m0006,
President of the King’s Privy Council for Canada,7,Hon.,Harjit S.,Sajjan,,2023-07-26 10:30:00 a.m.,,m0007,
Minister of Indigenous Services,8,Hon.,Patty,Hajdu,,2021-10-26 10:30:00 a.m.,,m0008,
"Minister of Innovation, Science and Industry",9,Hon.,François-Philippe,Champagne,,2021-01-12 12:00:00 a.m.,,m0009,
Minister of International Development,11,Hon.,Ahmed,Hussen,,2023-07-26 10:30:00 a.m.,,m0010,
President of the Treasury Board,12,Hon.,Ginette,Petitpas Taylor,,2024-12-20 11:30:00 a.m.,,m0011,
Minister of National Defence,13,Hon.,Bill,Blair,,2023-07-26 10:30:00 a.m.,,m0012,
"Minister of Export Promotion, International Trade and Economic Development",14,Hon.,Mary,Ng,,2023-07-26 10:30:00 a.m.,,m0013,
Minister of Energy and Natural Resources,15,Hon.,Jonathan,Wilkinson,,2023-07-26 10:30:00 a.m.,,m0014,
Minister of Transport and Internal Trade,16,Hon.,Anita,Anand,,2024-12-20 11:30:00 a.m.,,m0015,
Minister of Environment and Climate Change,17,Hon.,Steven,Guilbeault,,2021-10-26 10:30:00 a.m.,,m0016,
"Minister of Immigration, Refugees and Citizenship",18,Hon.,Marc,Miller,,2023-07-26 10:30:00 a.m.,,m0017,
Minister of Health,19,Hon.,Mark,Holland,,2023-07-26 10:30:00 a.m.,,m0018,
Minister responsible for the Atlantic Canada Opportunities Agency,20,Hon.,Gudie,Hutchings,,2023-07-26 10:30:00 a.m.,,m0019,
Minister for Women and Gender Equality and Youth,21,Hon.,Marci,Ien,,2021-10-26 10:30:00 a.m.,,m0020,
"Minister of Diversity, Inclusion and Persons with Disabilities",22,Hon.,Kamal,Khera,,2023-07-26 10:30:00 a.m.,,m0021,
Minister of Canadian Heritage,23,Hon.,Pascale,St-Onge,,2023-07-26 10:30:00 a.m.,,m0022,
Leader of the Government in the House of Commons,24,Hon.,Steven,MacKinnon,,2025-01-24 12:00:00 a.m.,,m0023,
Minister of Crown-Indigenous Relations and Northern Affairs,25,Hon.,Gary,Anandasangaree,,2024-12-20 11:30:00 a.m.,,m0024,
Minister of Citizens’ Services,26,Hon.,Terry,Beech,,2023-07-26 10:30:00 a.m.,,m0025,
Minister of Tourism,27,Hon.,Soraya,Martinez Ferrada,,2023-07-26 10:30:00 a.m.,,m0026,
Associate Minister of Health,28,Hon.,Ya'ara,Saks,,2023-07-26 10:30:00 a.m.,,m0027,
"Minister of Families, Children and Social Development",29,Hon.,Jenna,Sudds,,2023-07-26 10:30:00 a.m.,,m0028,
Minister of Small Business,30,Hon.,Rechie,Valdez,,2023-07-26 10:30:00 a.m.,,m0029,
Minister of Justice,31,Hon.,Arif,Virani,,2023-07-26 10:30:00 a.m.,,m0030,
Minister of Public Safety,32,Hon.,David,McGuinty,,2024-12-20 11:30:00 a.m.,,m0031,
Minister of Democratic Institutions,33,Hon.,Ruby,Sahota,,2024-12-20 11:30:00 a.m.,,m0032,
Minister of Official Languages,34,Hon.,Rachel,Bendayan,,2024-12-20 11:30:00 a.m.,,m0033,
Minister of National Revenue,35,Hon.,Élisabeth,Brière,,2024-12-20 11:30:00 a.m.,,m0034,
Minister of Sport,36,Hon.,Terry,Duguid,,2024-12-20 11:30:00 a.m.,,m0035,
"Minister of Housing, Infrastructure and Communities",37,Hon.,Nathaniel,Erskine-Smith,,2024-12-20 11:30:00 a.m.,,m0036,
Minister of Veterans Affairs,38,Hon.,Darren,Fisher,,2024-12-20 11:30:00 a.m.,,m0037,
Minister of Seniors,39,Hon.,Joanne,Thompson,,2024-12-20 11:30:00 a.m.,,m0038,
