RGOriginalName,MatchedName,MatchScore,ManualMatch,FinalMatch,GC OrgID,Organization Legal Name English,Organization Legal Name French
Agriculture and Agri-Food (Department of),Department of Agriculture and Agri-Food,95,,Department of Agriculture and Agri-Food,2222,Department of Agriculture and Agri-Food,Ministère de l’Agriculture et de l’Agroalimentaire
Office of the Auditor General,Office of the Auditor General,100,,Office of the Auditor General,2270,Office of the Auditor General,Bureau du vérificateur général
Public Service Commission,Public Service Commission,100,,Public Service Commission,2286,Public Service Commission,Commission de la fonction publique
"Foreign Affairs, Trade and Development (Department of)","Department of Foreign Affairs, Trade and Development",95,,"Department of Foreign Affairs, Trade and Development",2227,"Department of Foreign Affairs, Trade and Development","Ministère des Affaires étrangères, du Commerce et du Développement"
Finance (Department of),Department of Finance,95,,Department of Finance,2225,Department of Finance,Ministère des Finances
Environment (Department of the),Department of the Environment,95,,Department of the Environment,2237,Department of the Environment,Ministère de l'Environnement
Office of the Governor General's Secretary,Office of the Governor General's Secretary,100,,Office of the Governor General's Secretary,2278,Office of the Governor General's Secretary,Bureau du secrétaire du gouverneur général
Senate,Senate,100,,Senate,3432,Senate,Sénat
Office of the Superintendent of Financial Institutions,Office of the Superintendent of Financial Institutions,100,,Office of the Superintendent of Financial Institutions,2280,Office of the Superintendent of Financial Institutions,Bureau du surintendant des institutions financières
Economic Development Agency of Canada for the Regions of Quebec,Economic Development Agency of Canada for the Regions of Quebec,100,,Economic Development Agency of Canada for the Regions of Quebec,2257,Economic Development Agency of Canada for the Regions of Quebec,Agence de développement économique du Canada pour les régions du Québec
Justice (Department of),Department of Justice,95,,Department of Justice,2232,Department of Justice,Ministère de la Justice
Employment and Social Development (Department of),Department of Employment and Social Development,95,,Department of Employment and Social Development,2229,Department of Employment and Social Development,Ministère de l'Emploi et du Développement social
Office of the Chief Electoral Officer,Office of the Chief Electoral Officer,100,,Office of the Chief Electoral Officer,2271,Office of the Chief Electoral Officer,Bureau du directeur général des élections
Canadian Radio-television and Telecommunications Commission,Canadian Radio-television and Telecommunications Commission,100,,Canadian Radio-television and Telecommunications Commission,2396,Canadian Radio-television and Telecommunications Commission,Conseil de la radiodiffusion et des télécommunications canadiennes
Library of Parliament,Library of Parliament,100,,Library of Parliament,3429,Library of Parliament,Bibliothèque du Parlement
National Defence (Department of),Department of National Defence,95,,Department of National Defence,2233,Department of National Defence,Ministère de la Défense nationale
