ï»¿Precedence,Honorific Title,First Name,Last Name,Title,Province / Territory,Start Date,End Date
1,Right Hon.,Justin,Trudeau,Prime Minister,,2015-11-04 10:45:00 a.m.,
2,Hon.,Lawrence,MacAulay,Minister of Agriculture and Agri-Food,,2023-07-26 10:30:00 a.m.,
3,Hon.,Dominic,LeBlanc,Minister of Intergovernmental Affairs,,2024-12-20 11:30:00 a.m.,
4,Hon.,Jean-Yves,Duclos,Minister of Public Services and Procurement,,2023-07-26 10:30:00 a.m.,
5,Hon.,MÃ©lanie,Joly,Minister of Foreign Affairs,,2021-10-26 10:30:00 a.m.,
6,Hon.,Diane,Lebouthillier,"Minister of Fisheries, Oceans and the Canadian Coast Guard",,2023-07-26 10:30:00 a.m.,
7,Hon.,Harjit S.,Sajjan,President of the Kingâs Privy Council for Canada,,2023-07-26 10:30:00 a.m.,
8,Hon.,Patty,Hajdu,Minister of Indigenous Services,,2021-10-26 10:30:00 a.m.,
9,Hon.,FranÃ§ois-Philippe,Champagne,"Minister of Innovation, Science and Industry",,2021-01-12 12:00:00 a.m.,
10,Hon.,Karina,Gould,Leader of the Government in the House of Commons,,2024-07-31 12:00:00 a.m.,
11,Hon.,Ahmed,Hussen,Minister of International Development,,2023-07-26 10:30:00 a.m.,
12,Hon.,Ginette,Petitpas Taylor,President of the Treasury Board,,2024-12-20 11:30:00 a.m.,
13,Hon.,Bill,Blair,Minister of National Defence,,2023-07-26 10:30:00 a.m.,
14,Hon.,Mary,Ng,"Minister of Export Promotion, International Trade and Economic Development",,2023-07-26 10:30:00 a.m.,
15,Hon.,Jonathan,Wilkinson,Minister of Energy and Natural Resources,,2023-07-26 10:30:00 a.m.,
16,Hon.,Anita,Anand,Minister of Transport and Internal Trade,,2024-12-20 11:30:00 a.m.,
17,Hon.,Steven,Guilbeault,Minister of Environment and Climate Change,,2021-10-26 10:30:00 a.m.,
18,Hon.,Marc,Miller,"Minister of Immigration, Refugees and Citizenship",,2023-07-26 10:30:00 a.m.,
19,Hon.,Mark,Holland,Minister of Health,,2023-07-26 10:30:00 a.m.,
20,Hon.,Gudie,Hutchings,Minister responsible for the Atlantic Canada Opportunities Agency,,2023-07-26 10:30:00 a.m.,
21,Hon.,Marci,Ien,Minister for Women and Gender Equality and Youth,,2021-10-26 10:30:00 a.m.,
22,Hon.,Kamal,Khera,"Minister of Diversity, Inclusion and Persons with Disabilities",,2023-07-26 10:30:00 a.m.,
23,Hon.,Pascale,St-Onge,Minister of Canadian Heritage,,2023-07-26 10:30:00 a.m.,
24,Hon.,Steven,MacKinnon,"Minister of Employment, Workforce Development and Labour",,2024-12-20 11:30:00 a.m.,
25,Hon.,Gary,Anandasangaree,Minister of Crown-Indigenous Relations and Northern Affairs,,2024-12-20 11:30:00 a.m.,
26,Hon.,Terry,Beech,Minister of Citizensâ Services,,2023-07-26 10:30:00 a.m.,
27,Hon.,Soraya,Martinez Ferrada,Minister of Tourism,,2023-07-26 10:30:00 a.m.,
28,Hon.,Ya'ara,Saks,Associate Minister of Health,,2023-07-26 10:30:00 a.m.,
29,Hon.,Jenna,Sudds,"Minister of Families, Children and Social Development",,2023-07-26 10:30:00 a.m.,
30,Hon.,Rechie,Valdez,Minister of Small Business,,2023-07-26 10:30:00 a.m.,
31,Hon.,Arif,Virani,Minister of Justice,,2023-07-26 10:30:00 a.m.,
32,Hon.,David,McGuinty,Minister of Public Safety,,2024-12-20 11:30:00 a.m.,
33,Hon.,Ruby,Sahota,Minister of Democratic Institutions,,2024-12-20 11:30:00 a.m.,
34,Hon.,Rachel,Bendayan,Minister of Official Languages,,2024-12-20 11:30:00 a.m.,
35,Hon.,Ãlisabeth,BriÃ¨re,Minister of National Revenue,,2024-12-20 11:30:00 a.m.,
36,Hon.,Terry,Duguid,Minister of Sport,,2024-12-20 11:30:00 a.m.,
37,Hon.,Nathaniel,Erskine-Smith,"Minister of Housing, Infrastructure and Communities",,2024-12-20 11:30:00 a.m.,
38,Hon.,Darren,Fisher,Minister of Veterans Affairs,,2024-12-20 11:30:00 a.m.,
39,Hon.,Joanne,Thompson,Minister of Seniors,,2024-12-20 11:30:00 a.m.,
