﻿Precedence,Titre honorifique,Prénom,Nom de famille,Titre,Province / Territoire,Date de début,Date de fin
1,Le très hon.,Justin,Trudeau,Premier ministre,,2015-11-04 10 h 45 min 00 s,
2,L’hon.,Lawrence,MacAulay,Ministre de l’Agriculture et de l’Agroalimentaire,,2023-07-26 10 h 30 min 00 s,
3,L’hon.,Dominic,LeBlanc,Ministère des Affaires intergouvernementales,,2024-12-20 11 h 30 min 00 s,
4,L’hon.,Jean-Yves,Duclos,Ministre des Services publics et de l’Approvisionnement,,2023-07-26 10 h 30 min 00 s,
5,L’hon.,Mélanie,Joly,Ministre des Affaires étrangères,,2021-10-26 10 h 30 min 00 s,
6,L’hon.,Diane,Lebouthillier,"Ministre des Pêches, des Océans et de la Garde côtière canadienne",,2023-07-26 10 h 30 min 00 s,
7,L’hon.,Harjit S.,Sajjan,Président du Conseil privé du Roi pour le Canada,,2023-07-26 10 h 30 min 00 s,
8,L’hon.,Patty,Hajdu,Ministre des Services aux Autochtones,,2021-10-26 10 h 30 min 00 s,
9,L’hon.,François-Philippe,Champagne,"Ministre de l’Innovation, des Sciences et de l’Industrie",,2021-01-12 00 h 00 min 00 s,
11,L’hon.,Ahmed,Hussen,Ministre du Développement international,,2023-07-26 10 h 30 min 00 s,
12,L’hon.,Ginette,Petitpas Taylor,Présidente du Conseil du Trésor,,2024-12-20 11 h 30 min 00 s,
13,L’hon.,Bill,Blair,Ministre de la Défense nationale,,2023-07-26 10 h 30 min 00 s,
14,L’hon.,Mary,Ng,"Ministre de la Promotion des exportations, du Commerce international et du Développement économique",,2023-07-26 10 h 30 min 00 s,
15,L’hon.,Jonathan,Wilkinson,Ministre de l’Énergie et des Ressources naturelles,,2023-07-26 10 h 30 min 00 s,
16,L’hon.,Anita,Anand,Ministre des Transports et du Commerce intérieur,,2024-12-20 11 h 30 min 00 s,
17,L’hon.,Steven,Guilbeault,Ministre de l’Environnement et du Changement climatique,,2021-10-26 10 h 30 min 00 s,
18,L’hon.,Marc,Miller,"Ministre de l’Immigration, des Réfugiés et de la Citoyenneté",,2023-07-26 10 h 30 min 00 s,
19,L’hon.,Mark,Holland,Ministre de la Santé,,2023-07-26 10 h 30 min 00 s,
20,L’hon.,Gudie,Hutchings,Ministre responsable de l’Agence de promotion économique du Canada atlantique,,2023-07-26 10 h 30 min 00 s,
21,L’hon.,Marci,Ien,Ministre des Femmes et de l’Égalité des genres et de la Jeunesse,,2021-10-26 10 h 30 min 00 s,
22,L’hon.,Kamal,Khera,"Ministre de la Diversité, de l’Inclusion et des Personnes en situation de handicap",,2023-07-26 10 h 30 min 00 s,
23,L’hon.,Pascale,St-Onge,Ministre du Patrimoine canadien,,2023-07-26 10 h 30 min 00 s,
24,L’hon.,Steven,MacKinnon,Leader du gouvernement à la Chambre des communes,,2025-01-24 00 h 00 min 00 s,
25,L’hon.,Gary,Anandasangaree,Ministre des Relations Couronne-Autochtones et des Affaires du Nord,,2024-12-20 11 h 30 min 00 s,
26,L’hon.,Terry,Beech,Ministre des Services aux citoyens,,2023-07-26 10 h 30 min 00 s,
27,L’hon.,Soraya,Martinez Ferrada,Ministre du Tourisme,,2023-07-26 10 h 30 min 00 s,
28,L’hon.,Ya'ara,Saks,Ministre associée de la Santé,,2023-07-26 10 h 30 min 00 s,
29,L’hon.,Jenna,Sudds,"Ministre de la Famille, des Enfants et du Développement social",,2023-07-26 10 h 30 min 00 s,
30,L’hon.,Rechie,Valdez,Ministre de la Petite Entreprise,,2023-07-26 10 h 30 min 00 s,
31,L’hon.,Arif,Virani,Ministre de la Justice,,2023-07-26 10 h 30 min 00 s,
32,L’hon.,David,McGuinty,Ministre de la Sécurité publique,,2024-12-20 11 h 30 min 00 s,
33,L’hon.,Ruby,Sahota,Ministre des Institutions démocratiques,,2024-12-20 11 h 30 min 00 s,
34,L'hon.,Rachel,Bendayan,Ministre des Langues officielles,,2024-12-20 11 h 30 min 00 s,
35,L'hon.,Élisabeth,Brière,Ministre du Revenu national,,2024-12-20 11 h 30 min 00 s,
36,L'hon.,Terry,Duguid,Ministre des Sports,,2024-12-20 11 h 30 min 00 s,
37,L'hon.,Nathaniel,Erskine-Smith,"Ministre du Logement, de l’Infrastructure et des Collectivités",,2024-12-20 11 h 30 min 00 s,
38,L'hon.,Darren,Fisher,Ministre des Anciens Combattants,,2024-12-20 11 h 30 min 00 s,
39,L'hon.,Joanne,Thompson,Ministre des Aînés,,2024-12-20 11 h 30 min 00 s,
