uuid,title_en,title_fr,short_form_en,short_form_fr,department_number,umd_number,open_canada_id
9ced415c-3060-4d20-ab3c-302f38367037,2875039 Canada Limited,2875039 Canada Limited,2CANL,2CANL,,458,2canl
73a9a5ff-b20f-4909-b3bb-095838099b64,3906949 Canada Inc.,3906949 Canada Inc.,3CAN,3CAN,,460,3can
356516e9-3fc0-4a26-8476-f23c38a82ddb,3Net Indy Holdings,3Net Indy Holdings,3NIH,3NIH,,485,3nih
0245840a-b687-432a-a291-5a80bbefa7b4,3Net Indy Investments Inc.,3Net Indy Investments Inc.,3NII,3NII,,540,3nii
617cce02-c653-426f-97c9-2e5538067ef9,7986386 Canada Inc.,7986386 Canada Inc.,7CAN,7CAN,,486,7can
7720db15-2fae-4982-93ce-bab79a00e7ef,8599963 Canada Inc.,8599963 Canada Inc.,8CAN,8CAN,,487,8can
9119d60e-6f80-4ec3-b7ed-ad8ac6c75c37,Accessibility Standards Canada,Normes d'accessibilité Canada,CASDO,OCENA,,,casdo-ocena
89a7ab6c-c736-11e4-aef9-08002710fcd5,Administrative Tribunals Support Service of Canada,Service canadien d'appui aux tribunaux administratifs,ATSSC,SCDATA,8888888,5,atssc-scdata
2abcca59-6c57-4886-99e7-85ec6c719218,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada,AAFC,AAC,235,2,aafc-aac
76287b5c-ceb0-44fb-a62f-3cd4ee5de656,Argentia Private Investments Inc.,Argentia Private Investments Inc.,API,API,,488,api
97b5598b-1f72-5f68-8a71-760647e93e45,Asia-Pacific Foundation of Canada,Fondation Asie Pacifique du Canada,APFC,FAPC,11,127,apfc-fapc
514f9156-9b79-5306-a796-0a54bea23219,Assisted Human Reproduction Canada,Procréation Assistée Canada,AHRC,PAC,209,301,ahrc-pac
c3ddad27-efa9-41ab-9d12-12856482c0a8,Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique,ACOA,APECA,276,1,acoa-apeca
ed979c5d-69c9-48a4-a3e8-f69c71d8c3d6,Atlantic Pilotage Authority Canada,Administration de pilotage de l'Atlantique Canada,APA,APA,221,130,apa
d623814a-10a8-439d-9a33-181ce5390b11,Atomic Energy of Canada Limited,"Énergie atomique du Canada, Limitée",AECL,EACL,138,131,aecl-eacl
c89df776-0368-4141-8860-f5755d0c644a,AviAlliance Canada Inc.,AviAlliance Canada Inc.,AAC,AAC,,489,aac
d14bcb92-f971-49a9-9c46-9dda7cd46aaa,AviAlliance Terminal Management Inc.,AviAlliance Terminal Management Inc.,ATM,ATM,,541,atm
