,English Name,French Name,FAA
0,Administrative Tribunals Support Service of Canada,Service canadien d’appui aux tribunaux administratifs,i1
1,Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique,i1
2,Canada Water Agency,Agence canadienne de l’eau,i1
3,Canadian Grain Commission,Commission canadienne des grains,i1
4,0,Commission canadienne des droits de la personne,i1
5,Canadian Intergovernmental Conference Secretariat,Secrétariat des conférences intergouvernementales canadiennes,i1
6,Canadian Northern Economic Development Agency,Agence canadienne de développement économique du Nord,i1
7,Canadian Radio-television and Telecommunications Commission,Conseil de la radiodiffusion et des télécommunications canadiennes,i1
8,Canadian Security Intelligence Service,Service canadien du renseignement de sécurité,i1
9,Canadian Space Agency,Agence spatiale canadienne,i1
10,Canadian Transportation Agency,Office des transports du Canada,i1
11,Civilian Review and Complaints Commission for the Royal Canadian Mounted Police,Commission civile d’examen et de traitement des plaintes relatives à la Gendarmerie royale du Canada,i1
12,Communications Security Establishment,Centre de la sécurité des télécommunications,i1
13,Copyright Board,Commission du droit d’auteur,i1
14,Correctional Service of Canada,Service correctionnel du Canada,i1
15,Courts Administration Service,Service administratif des tribunaux judiciaires ,i1
16,Economic Development Agency of Canada for the Regions of Quebec,Agence de développement économique du Canada pour les régions du Québec,i1
17,Federal Economic Development Agency for Northern Ontario,Agence fédérale de développement économique pour le Nord de l’Ontario,i1
18,Federal Economic Development Agency for Southern Ontario,Agence fédérale de développement économique pour le Sud de l’Ontario,i1
19,Financial Consumer Agency of Canada,Agence de la consommation en matière financière du Canada,i1
20,Financial Transactions and Reports Analysis Centre of Canada,Centre d’analyse des opérations et déclarations financières du Canada,i1
21,Immigration and Refugee Board,Commission de l’immigration et du statut de réfugié,i1
22,Impact Assessment Agency of Canada,Agence canadienne d’évaluation d’impact,i1
23,Leaders’ Debates Commission,Commission des débats des chefs,i1
24,Library and Archives of Canada,Bibliothèque et Archives du Canada,i1
25,Military Grievances External Review Committee,Comité externe d’examen des griefs militaires,i1
26,Military Police Complaints Commission,Commission d’examen des plaintes concernant la police militaire,i1
27,National Farm Products Council,Conseil national des produits agricoles,i1
28,National Film Board,Office national du film,i1
29,National Security and Intelligence Review Agency Secretariat,Secrétariat de l’Office de surveillance des activités en matière de sécurité nationale et de renseignement,i1
30,Northern Pipeline Agency,Administration du pipe-line du Nord,i1
31,Office of the Auditor General,Bureau du vérificateur général,i1
32,Office of the Chief Electoral Officer,Bureau du directeur général des élections,i1
33,Office of the Commissioner for Federal Judicial Affairs,Bureau du commissaire à la magistrature fédérale,i1
34,Office of the Commissioner of Lobbying,Commissariat au lobbying,i1
35,Office of the Commissioner of Official Languages,Commissariat aux langues officielles,i1
36,Office of the Correctional Investigator of Canada,Bureau de l’enquêteur correctionnel du Canada,i1
37,Office of the Director of Public Prosecutions,Bureau du directeur des poursuites pénales,i1
38,Office of the Governor General’s Secretary,Bureau du secrétaire du gouverneur général,i1
39,Office of the Intelligence Commissioner,Bureau du commissaire au renseignement,i1
40,Office of the Public Sector Integrity Commissioner,Commissariat à l’intégrité du secteur public,i1
41,Office of the Superintendent of Financial Institutions,Bureau du surintendant des institutions financières,i1
42,Offices of the Information and Privacy Commissioners of Canada,Commissariats à l’information et à la protection de la vie privée du Canada,i1
43,Pacific Economic Development Agency of Canada,Agence de développement économique du Pacifique Canada,i1
44,Parole Board of Canada,Commission des libérations conditionnelles du Canada,i1
45,Patented Medicine Prices Review Board,Conseil d’examen du prix des médicaments brevetés,i1
46,Privy Council Office,Bureau du Conseil privé,i1
47,Public Health Agency of Canada,Agence de la santé publique du Canada,i1
48,Public Service Commission,Commission de la fonction publique,i1
49,Registrar of the Supreme Court of Canada and that portion of the federal public administration appointed under subsection 12(2) of the Supreme Court Act,Registraire de la Cour suprême du Canada et le secteur de l’administration publique fédérale nommé en vertu du paragraphe 12(2) de la Loi sur la Cour suprême,i1
50,Royal Canadian Mounted Police,Gendarmerie royale du Canada,i1
51,Royal Canadian Mounted Police External Review Committee,Comité externe d’examen de la Gendarmerie royale du Canada,i1
52,Secretariat of the National Security and Intelligence Committee of Parliamentarians,Secrétariat du Comité des parlementaires sur la sécurité nationale et le renseignement,i1
53,Shared Services Canada,Services partagés Canada,i1
54,Statistics Canada,Statistique Canada,i1
55,Veterans Review and Appeal Board,Tribunal des anciens combattants (révision et appel),i1
