English Name,French Name,FAA
Administrative Tribunals Support Service of Canada,Service canadien d'appui aux tribunaux administratifs,i1
Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique,i1
Atlantic Pilotage Authority,Administration de pilotage de l'Atlantique,3
Atomic Energy of Canada Limited,"Énergie atomique du Canada, Limitée",3
Business Development Bank of Canada,Banque de développement du Canada,3
Canada Border Services Agency,Agence des services frontaliers du Canada,4
Canada Deposit Insurance Corporation,Société d'assurance-dépôts du Canada,3
Canada Emission Reduction Incentives Agency,Agence canadienne pour l'incitation à la réduction des émissions,4
Canada Employment Insurance Commission,Commission de l'assurance-emploi du Canada,2
Canada Infrastructure Bank,Banque de l'infrastructure du Canada,3
Canada Investment and Savings,Placements Épargne Canada,5
Canada Lands Company Limited,Société immobilière du Canada Limitée,3
Canada Mortgage and Housing Corporation,Société canadienne d'hypothèques et de logement,3
Canada Post Corporation,Société canadienne des postes,3
Canada Revenue Agency,Agence du revenu du Canada,2
Canada School of Public Service,École de la fonction publique du Canada,4
Canada Water Agency,Agence canadienne de l'eau,i1
Canadian Accessibility Standards Development Organization,Organisation canadienne d'élaboration de normes d'accessibilité,4
Canadian Air Transport Security Authority,Administration canadienne de la sûreté du transport aérien,3
Canadian Centre for Occupational Health and Safety,Centre canadien d'hygiène et de sécurité au travail,2
Canadian Commercial Corporation,Corporation commerciale canadienne,3
Canadian Dairy Commission,Commission canadienne du lait,4
Canadian Energy Regulator,Régie canadienne de l'énergie,2
Canadian Food Inspection Agency,Agence canadienne d'inspection des aliments,2
Canadian Grain Commission,Commission canadienne des grains,i1
Canadian High Arctic Research Station,Station canadienne de recherche dans l'Extrême-Arctique,2
Canadian Human Rights Commission,Commission canadienne des droits de la personne,i1
Canadian Institutes of Health Research,Instituts de recherche en santé du Canada,2
Canadian Intergovernmental Conference Secretariat,Secrétariat des conférences intergouvernementales canadiennes,i1
Canadian Museum for Human Rights,Musée canadien des droits de la personne,3
Canadian Museum of History,Musée canadien de l'histoire,3
Canadian Museum of Immigration at Pier 21,Musée canadien de l'immigration du Quai 21,3
Canadian Museum of Nature,Musée canadien de la nature,3
Canadian Northern Economic Development Agency,Agence canadienne de développement économique du Nord,i1
Canadian Nuclear Safety Commission,Commission canadienne de sûreté nucléaire,2
Canadian Radio-television and Telecommunications Commission,Conseil de la radiodiffusion et des télécommunications canadiennes,i1
Canadian Security Intelligence Service,Service canadien du renseignement de sécurité,i1
Canadian Space Agency,Agence spatiale canadienne,i1
Canadian Tourism Commission,Commission canadienne du tourisme,3
Canadian Transportation Accident Investigation and Safety Board,Bureau canadien d'enquête sur les accidents de transport et de la sécurité des transports,4
Canadian Transportation Agency,Office des transports du Canada,i1
Civilian Review and Complaints Commission for the Royal Canadian Mounted Police,Commission civile d'examen et de traitement des plaintes relatives à la Gendarmerie royale du Canada,i1
Communication Canada,Communication Canada,4
Communications Security Establishment,Centre de la sécurité des télécommunications,i1
Copyright Board,Commission du droit d'auteur,i1
Correctional Service of Canada,Service correctionnel du Canada,i1
Courts Administration Service,Service administratif des tribunaux judiciaires,i1
Defence Construction (1951) Limited,Construction de défense (1951) Limitée,3
Department for Women and Gender Equality,Ministère des Femmes et de l'Égalité des genres,1
Department of Agriculture and Agri-Food,Ministère de l'Agriculture et de l'Agroalimentaire,1
Department of Canadian Heritage,Ministère du Patrimoine canadien,1
Department of Citizenship and Immigration,Ministère de la Citoyenneté et de l'Immigration,1
Department of Crown-Indigenous Relations and Northern Affairs,Ministère des Relations Couronne-Autochtones et des Affaires du Nord,1
Department of Employment and Social Development,Ministère de l'Emploi et du Développement social,1
Department of Finance,Ministère des Finances,1
Department of Fisheries and Oceans,Ministère des Pêches et des Océans,1
"Department of Foreign Affairs, Trade and Development","Ministère des Affaires étrangères, du Commerce et du Développement",1
Department of Health,Ministère de la Santé,1
"Department of Housing, Infrastructure and Communities","Ministère du Logement, de l'Infrastructure et des Collectivités",1
Department of Indigenous Services,Ministère des Services aux Autochtones,1
Department of Industry,Ministère de l'Industrie,1
Department of Justice,Ministère de la Justice,1
Department of National Defence,Ministère de la Défense nationale,1
Department of Natural Resources,Ministère des Ressources naturelles,1
Department of Public Safety and Emergency Preparedness,Ministère de la Sécurité publique et de la Protection civile,1
Department of Public Works and Government Services,Ministère des Travaux publics et des Services gouvernementaux,1
Department of Transport,Ministère des Transports,1
Department of Veterans Affairs,Ministère des Anciens Combattants,1
Department of Western Economic Diversification,Ministère de la Diversification de l'économie de l'Ouest canadien,1
Department of the Environment,Ministère de l'Environnement,1
Director of Soldier Settlement,Directeur de l'établissement de soldats,4
Economic Development Agency of Canada for the Regions of Quebec,Agence de développement économique du Canada pour les régions du Québec,i1
Energy Supplies Allocation Board,Office de répartition des approvisionnements d'énergie,4
Export Development Canada,Exportation et développement Canada,3
Farm Credit Canada,Financement agricole Canada,3
Federal Economic Development Agency for Northern Ontario,Agence fédérale de développement économique pour le Nord de l'Ontario,i1
Federal Economic Development Agency for Southern Ontario,Agence fédérale de développement économique pour le Sud de l'Ontario,i1
Financial Consumer Agency of Canada,Agence de la consommation en matière financière du Canada,i1
Financial Transactions and Reports Analysis Centre of Canada,Centre d'analyse des opérations et déclarations financières du Canada,i1
Freshwater Fish Marketing Corporation,Office de commercialisation du poisson d'eau douce,3
Great Lakes Pilotage Authority,Administration de pilotage des Grands Lacs,3
Immigration and Refugee Board,Commission de l'immigration et du statut de réfugié,i1
Impact Assessment Agency of Canada,Agence canadienne d'évaluation d'impact,i1
Indian Oil and Gas Canada,Pétrole et gaz des Indiens Canada,5
International Joint Commission (Canadian Section),Commission mixte internationale (section canadienne),4
Invest in Canada Hub,Investir au Canada,2
Laurentian Pilotage Authority,Administration de pilotage des Laurentides,3
Law Commission of Canada,Commission du droit du Canada,4
Leaders' Debates Commission,Commission des débats des chefs,i1
Library and Archives of Canada,Bibliothèque et Archives du Canada,i1
Marine Atlantic Inc.,Marine Atlantique S.C.C.,3
Military Grievances External Review Committee,Comité externe d'examen des griefs militaires,i1
Military Police Complaints Commission,Commission d'examen des plaintes concernant la police militaire,i1
National Capital Commission,Commission de la capitale nationale,3
National Farm Products Council,Conseil national des produits agricoles,i1
National Film Board,Office national du film,i1
National Gallery of Canada,Musée des beaux-arts du Canada,3
National Museum of Science and Technology,Musée national des sciences et de la technologie,3
National Research Council of Canada,Conseil national de recherches du Canada,2
