GC OrgID,Organization Legal Name English,Organization Legal Name French,FAA/LGFP,Legal title,Appellation legale,Applied title,Titre d'usage,Abbreviation,Abreviation,Footnote,Note de bas de page,preferred_name,nom_préféré
2222,Department of Agriculture and Agri-Food,Ministère de l'Agriculture et de l'Agroalimentaire,I,Department of Agriculture and Agri-Food,Ministère de l'Agriculture et de l'Agroalimentaire,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada,AAFC,AAC,,,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada
2223,Department of Canadian Heritage,Ministère du Patrimoine canadien,I,Department of Canadian Heritage,Ministère du Patrimoine canadien,Canadian Heritage,Patrimoine canadien,PCH,PCH,,,Canadian Heritage,Patrimoine canadien
2224,Department of Citizenship and Immigration,Ministère de la Citoyenneté et de l'Immigration,I,Department of Citizenship and Immigration,Ministère de la Citoyenneté et de l'Immigration,"Immigration, Refugees and Citizenship Canada","Immigration, Réfugiés et Citoyenneté Canada",IRCC,IRCC,,,"Immigration, Refugees and Citizenship Canada","Immigration, Réfugiés et Citoyenneté Canada"
2225,Department of Finance,Ministère des Finances,I,Department of Finance,Ministère des Finances,Department of Finance Canada,Ministère des Finances Canada,FIN,FIN,,,Department of Finance Canada,Ministère des Finances Canada
2226,Department of Fisheries and Oceans,Ministère des Pêches et des Océans,I,Department of Fisheries and Oceans,Ministère des Pêches et des Océans,Fisheries and Oceans Canada,Pêches et Océans Canada,DFO,MPO,,,Fisheries and Oceans Canada,Pêches et Océans Canada
2227,"Department of Foreign Affairs, Trade and Development","Ministère des Affaires étrangères, du Commerce et du Développement",I,"Department of Foreign Affairs, Trade and Development","Ministère des Affaires étrangères, du Commerce et du Développement",Global Affairs Canada,Affaires mondiales Canada,GAC,AMC,,,Global Affairs Canada,Affaires mondiales Canada
2228,Department of Health,Ministère de la Santé,I,Department of Health,Ministère de la Santé,Health Canada,Santé Canada,HC,SC,,,Health Canada,Santé Canada
2229,Department of Employment and Social Development,Ministère de l'Emploi et du Développement social,I,Department of Employment and Social Development,Ministère de l'Emploi et du Développement social,Employment and Social Development Canada,Emploi et Développement social Canada,ESDC,EDSC,,,Employment and Social Development Canada,Emploi et Développement social Canada
2230,Department of Crown-Indigenous Relations and Northern Affairs,Ministère des Relations Couronne-Autochtones et des Affaires du Nord,I,Department of Crown-Indigenous Relations and Northern Affairs,Ministère des Relations Couronne-Autochtones et des Affaires du Nord,Crown-Indigenous Relations and Northern Affairs Canada,Relations Couronne-Autochtones et Affaires du Nord Canada,CIRNAC,RCAANC,,,Crown-Indigenous Relations and Northern Affairs Canada,Relations Couronne-Autochtones et Affaires du Nord Canada
2231,Department of Industry,Ministère de l'Industrie,I,Department of Industry,Ministère de l'Industrie,"Innovation, Science and Economic Development Canada","Innovation, Sciences et Développement économique Canada",ISED,ISDE,,,"Innovation, Science and Economic Development Canada","Innovation, Sciences et Développement économique Canada"
2232,Department of Justice,Ministère de la Justice,I,Department of Justice,Ministère de la Justice,Department of Justice Canada,Ministère de la Justice Canada,JUS,JUS,,,Department of Justice Canada,Ministère de la Justice Canada
2233,Department of National Defence,Ministère de la Défense nationale,I,Department of National Defence,Ministère de la Défense nationale,National Defence,Défense nationale,DND,MDN,,,National Defence,Défense nationale
2234,Department of Natural Resources,Ministère des Ressources naturelles,I,Department of Natural Resources,Ministère des Ressources naturelles,Natural Resources Canada,Ressources naturelles Canada,NRCan,RNCan,,,Natural Resources Canada,Ressources naturelles Canada
2235,Department of Public Safety and Emergency Preparedness,Ministère de la Sécurité publique et de la Protection civile,I,Department of Public Safety and Emergency Preparedness,Ministère de la Sécurité publique et de la Protection civile,Public Safety Canada,Sécurité publique Canada,PS,SP,,,Public Safety Canada,Sécurité publique Canada
2236,Department of Public Works and Government Services,Ministère des Travaux publics et des Services gouvernementaux,I,Department of Public Works and Government Services,Ministère des Travaux publics et des Services gouvernementaux,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,PSPC,SPAC,,,Public Services and Procurement Canada,Services publics et Approvisionnement Canada
2237,Department of the Environment,Ministère de l'Environnement,I,Department of the Environment,Ministère de l'Environnement,Environment and Climate Change Canada,Environnement et Changement climatique Canada,ECCC,ECCC,,,Environment and Climate Change Canada,Environnement et Changement climatique Canada
2238,Department of Transport,Ministère des Transports,I,Department of Transport,Ministère des Transports,Transport Canada,Transports Canada,TC,TC,,,Transport Canada,Transports Canada
2239,Department of Veterans Affairs,Ministère des Anciens Combattants,I,Department of Veterans Affairs,Ministère des Anciens Combattants,Veterans Affairs Canada,Anciens Combattants Canada,VAC,ACC,,,Veterans Affairs Canada,Anciens Combattants Canada
2240,Department of Western Economic Diversification,Ministère de la Diversification de l'économie de l'Ouest canadien,I,Department of Western Economic Diversification,Ministère de la Diversification de l'économie de l'Ouest canadien,Prairies Economic Development Canada,Développement économique Canada pour les Prairies,PrairiesCan,PrairiesCan,,,Prairies Economic Development Canada,Développement économique Canada pour les Prairies
2241,Department for Women and Gender Equality,Ministère des Femmes et de l'Égalité des genres,I,Department for Women and Gender Equality,Ministère des Femmes et de l'Égalité des genres,Women and Gender Equality Canada,Femmes et Égalité des genres Canada,WAGE,FEGC,,,Women and Gender Equality Canada,Femmes et Égalité des genres Canada
2242,Treasury Board Secretariat,Secrétariat du Conseil du Trésor,-,Treasury Board Secretariat,Secrétariat du Conseil du Trésor,Treasury Board of Canada Secretariat,Secrétariat du Conseil du Trésor du Canada,TBS,SCT,,,Treasury Board of Canada Secretariat,Secrétariat du Conseil du Trésor du Canada
2243,Department of Indigenous Services,Ministère des Services aux Autochtones,I,Department of Indigenous Services,Ministère des Services aux Autochtones,Indigenous Services Canada,Services aux Autochtones Canada,ISC,SAC,,,Indigenous Services Canada,Services aux Autochtones Canada
2244,Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique,I.1,Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique,,,ACOA,APECA,,,Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique
2245,Impact Assessment Agency of Canada,Agence canadienne d'évaluation d'impact,I.1,Impact Assessment Agency of Canada,Agence canadienne d'évaluation d'impact,Impact Assessment Agency of Canada,Agence d'évaluation d'impact du Canada,IAAC,AEIC,,,Impact Assessment Agency of Canada,Agence d'évaluation d'impact du Canada
2246,Canadian Grain Commission,Commission canadienne des grains,I.1,Canadian Grain Commission,Commission canadienne des grains,,,CGC,CCG,,,Canadian Grain Commission,Commission canadienne des grains
2247,Canadian Human Rights Commission,Commission canadienne des droits de la personne,I.1,Canadian Human Rights Commission,Commission canadienne des droits de la personne,,,CHRC,CCDP,,,Canadian Human Rights Commission,Commission canadienne des droits de la personne
2248,Canadian Intergovernmental Conference Secretariat,Secrétariat des conférences intergouvernementales canadiennes,I.1,Canadian Intergovernmental Conference Secretariat,Secrétariat des conférences intergouvernementales canadiennes,,,CICS,SCIC,,,Canadian Intergovernmental Conference Secretariat,Secrétariat des conférences intergouvernementales canadiennes
2249,Canadian Northern Economic Development Agency,Agence canadienne de développement économique du Nord,I.1,Canadian Northern Economic Development Agency,Agence canadienne de développement économique du Nord,Canadian Northern Economic Development Agency,Agence canadienne de développement économique du Nord,CanNor,CanNor,,,Canadian Northern Economic Development Agency,Agence canadienne de développement économique du Nord
2250,Canadian Security Intelligence Service,Service canadien du renseignement de sécurité,I.1,Canadian Security Intelligence Service,Service canadien du renseignement de sécurité,Canadian Security Intelligence Service,Service canadien du renseignement de sécurité,CSIS,SCRS,,,Canadian Security Intelligence Service,Service canadien du renseignement de sécurité
2251,Canadian Space Agency,Agence spatiale canadienne,I.1,Canadian Space Agency,Agence spatiale canadienne,Canadian Space Agency,Agence spatiale canadienne,CSA,ASC,,,Canadian Space Agency,Agence spatiale canadienne
2252,Canadian Transportation Agency,Office des transports du Canada,I.1,Canadian Transportation Agency,Office des transports du Canada,Canadian Transportation Agency,Office des transports du Canada,CTA,OTC,,,Canadian Transportation Agency,Office des transports du Canada
2253,Communications Security Establishment,Centre de la sécurité des télécommunications,I.1,Communications Security Establishment,Centre de la sécurité des télécommunications,Communications Security Establishment Canada,Centre de la sécurité des télécommunications Canada,CSE,CST,,,Communications Security Establishment Canada,Centre de la sécurité des télécommunications Canada
2254,Copyright Board,Commission du droit d'auteur,I.1,Copyright Board,Commission du droit d'auteur,Copyright Board Canada,Commission du droit d'auteur Canada,CB,CDA,,,Copyright Board Canada,Commission du droit d'auteur Canada
2255,Correctional Service of Canada,Service correctionnel du Canada,I.1,Correctional Service of Canada,Service correctionnel du Canada,Correctional Service Canada,Service correctionnel Canada,CSC,SCC,Also uses the title “Correctional Service” for brief identification,Utilise aussi le titre abrégé «Service correctionnel».,Correctional Service Canada,Service correctionnel Canada
2256,Courts Administration Service,Service administratif des tribunaux judiciaires,I.1,Courts Administration Service,Service administratif des tribunaux judiciaires,Courts Administration Service,Service administratif des tribunaux judiciaires,CAS,SATJ,,,Courts Administration Service,Service administratif des tribunaux judiciaires
2257,Economic Development Agency of Canada for the Regions of Quebec,Agence de développement économique du Canada pour les régions du Québec,I.1,Economic Development Agency of Canada for the Regions of Quebec,Agence de développement économique du Canada pour les régions du Québec,Canada Economic Development for Quebec Regions,Développement économique Canada pour les régions du Québec,CED,DEC,,,Canada Economic Development for Quebec Regions,Développement économique Canada pour les régions du Québec
2258,Federal Economic Development Agency for Southern Ontario,Agence fédérale de développement économique pour le Sud de l'Ontario,I.1,Federal Economic Development Agency for Southern Ontario,Agence fédérale de développement économique pour le Sud de l'Ontario,Federal Economic Development Agency for Southern Ontario,Agence fédérale de développement économique pour le Sud de l'Ontario,FedDev Ontario,FedDev Ontario,,,Federal Economic Development Agency for Southern Ontario,Agence fédérale de développement économique pour le Sud de l'Ontario
2259,Financial Consumer Agency of Canada,Agence de la consommation en matière financière du Canada,I.1,Financial Consumer Agency of Canada,Agence de la consommation en matière financière du Canada,Financial Consumer Agency of Canada,Agence de la consommation en matière financière du Canada,FCAC,ACFC,,,Financial Consumer Agency of Canada,Agence de la consommation en matière financière du Canada
2260,Financial Transactions and Reports Analysis Centre of Canada,Centre d'analyse des opérations et déclarations financières du Canada,I.1,Financial Transactions and Reports Analysis Centre of Canada,Centre d'analyse des opérations et déclarations financières du Canada,Financial Transactions and Reports Analysis Centre of Canada,Centre d'analyse des opérations et déclarations financières du Canada,FINTRAC,CANAFE,,,Financial Transactions and Reports Analysis Centre of Canada,Centre d'analyse des opérations et déclarations financières du Canada
2261,Immigration and Refugee Board,Commission de l'immigration et du statut de réfugié,I.1,Immigration and Refugee Board,Commission de l'immigration et du statut de réfugié,Immigration and Refugee Board of Canada,Commission de l'immigration et du statut de réfugié du Canada,IRB,CISR,,,Immigration and Refugee Board of Canada,Commission de l'immigration et du statut de réfugié du Canada
2262,Library and Archives of Canada,Bibliothèque et Archives du Canada,I.1,Library and Archives of Canada,Bibliothèque et Archives du Canada,Library and Archives Canada,Bibliothèque et Archives Canada,LAC,BAC,,,Library and Archives Canada,Bibliothèque et Archives Canada
2263,Military Grievances External Review Committee,Comité externe d'examen des griefs militaires,I.1,Military Grievances External Review Committee,Comité externe d'examen des griefs militaires,Military Grievances External Review Committee,Comité externe d'examen des griefs militaires,MGERC,CEEGM,,,Military Grievances External Review Committee,Comité externe d'examen des griefs militaires
2264,Military Police Complaints Commission,Commission d'examen des plaintes concernant la police militaire,I.1,Military Police Complaints Commission,Commission d'examen des plaintes concernant la police militaire,Military Police Complaints Commission of Canada,Commission d'examen des plaintes concernant la police militaire du Canada,MPCC,CPPM,,,Military Police Complaints Commission of Canada,Commission d'examen des plaintes concernant la police militaire du Canada
2265,National Farm Products Council,Conseil national des produits agricoles,I.1,National Farm Products Council,Conseil national des produits agricoles,Farm Products Council of Canada,Conseil des produits agricoles du Canada,FPCC,CPAC,,,Farm Products Council of Canada,Conseil des produits agricoles du Canada
2266,National Film Board,Office national du film,I.1,National Film Board,Office national du film,,,NFB,ONF,,,National Film Board,Office national du film
2267,Parole Board of Canada,Commission des libérations conditionnelles du Canada,I.1,Parole Board of Canada,Commission des libérations conditionnelles du Canada,Parole Board of Canada,Commission des libérations conditionnelles du Canada,PBC,CLCC,,,Parole Board of Canada,Commission des libérations conditionnelles du Canada
2268,Northern Pipeline Agency,Administration du pipe-line du Nord,I.1,Northern Pipeline Agency,Administration du pipe­-line du Nord,Northern Pipeline Agency Canada,Administration du pipe-line du Nord Canada,NPA,APN,,,Northern Pipeline Agency Canada,Administration du pipe-line du Nord Canada
2269,"Department of Housing, Infrastructure and Communities","Ministère du Logement, de l'Infrastructure et des Collectivités",I,"Department of Housing, Infrastructure and Communities","Ministère du Logement, de l'Infrastructure et des Collectivités","Housing, Infrastructure and Communities Canada","Logement, Infrastructures et Collectivités Canada",HICC,LICC,,,"Housing, Infrastructure and Communities Canada","Logement, Infrastructures et Collectivités Canada"
2270,Office of the Auditor General,Bureau du vérificateur général,I.1,Office of the Auditor General,Bureau du vérificateur général,Office of the Auditor General of Canada,Bureau du vérificateur général du Canada,OAG,BVG,,,Office of the Auditor General of Canada,Bureau du vérificateur général du Canada
2271,Office of the Chief Electoral Officer,Bureau du directeur général des élections,I.1,Office of the Chief Electoral Officer,Bureau du directeur général des élections,,,elections,elections,,,Office of the Chief Electoral Officer,Bureau du directeur général des élections
2272,Office of the Commissioner for Federal Judicial Affairs,Commissariat à la magistrature fédérale,I.1,Office of the Commissioner for Federal Judicial Affairs,Bureau du commissaire à la magistrature fédérale,Office of the Commissioner for Federal Judicial Affairs Canada,Commissariat à la magistrature fédérale Canada,FJA,CMF,,,Office of the Commissioner for Federal Judicial Affairs Canada,Commissariat à la magistrature fédérale Canada
2273,Office of the Commissioner of Lobbying,Commissariat au lobbying,I.1,Office of the Commissioner of Lobbying,Commissariat au lobbying,Office of the Commissioner of Lobbying of Canada,Commissariat au lobbying du Canada,OCL,CAL,,,Office of the Commissioner of Lobbying of Canada,Commissariat au lobbying du Canada
2274,Office of the Commissioner of Official Languages,Commissariat aux langues officielles,I.1,Office of the Commissioner of Official Languages,Commissariat aux langues officielles,,,OCOL,CLO,,,Office of the Commissioner of Official Languages,Commissariat aux langues officielles
2275,Office of the Intelligence Commissioner,Bureau du commissaire au renseignement,I.1,Office of the Intelligence Commissioner,Bureau du commissaire au renseignement,,,,,,,Office of the Intelligence Commissioner,Bureau du commissaire au renseignement
2276,Office of the Correctional Investigator of Canada,Bureau de l'enquêteur correctionnel du Canada,I.1,Office of the Correctional Investigator of Canada,Bureau de l'enquêteur correctionnel du Canada,The Correctional Investigator Canada,L'Enquêteur correctionnel Canada,OCI,BEC,,,The Correctional Investigator Canada,L'Enquêteur correctionnel Canada
2277,Office of the Director of Public Prosecutions,Bureau du directeur des poursuites pénales,I.1,Office of the Director of Public Prosecutions,Bureau du directeur des poursuites pénales,Public Prosecution Service of Canada,Service des poursuites pénales du Canada,PPSC,SPPC,,,Public Prosecution Service of Canada,Service des poursuites pénales du Canada
2278,Office of the Governor General's Secretary,Bureau du secrétaire du gouverneur général,I.1,Office of the Governor General's Secretary,Bureau du secrétaire du gouverneur général,Office of the Secretary to the Governor General,Bureau du secrétaire du gouverneur général,OSGG,BSGG,,,Office of the Secretary to the Governor General,Bureau du secrétaire du gouverneur général
2279,Office of the Public Sector Integrity Commissioner,Commissariat à l'intégrité du secteur public,I.1,Office of the Public Sector Integrity Commissioner,Commissariat à l'intégrité du secteur public,Office of the Public Sector Integrity Commissioner of Canada,Commissariat à l'intégrité du secteur public du Canada,PSIC,ISPC,,,Office of the Public Sector Integrity Commissioner of Canada,Commissariat à l'intégrité du secteur public du Canada
2280,Office of the Superintendent of Financial Institutions,Bureau du surintendant des institutions financières,I.1,Office of the Superintendent of Financial Institutions,Bureau du surintendant des institutions financières,Office of the Superintendent of Financial Institutions Canada,Bureau du surintendant des institutions financières Canada,OSFI,BSIF,,,Office of the Superintendent of Financial Institutions Canada,Bureau du surintendant des institutions financières Canada
