gc_orgID,rg,harmonized_name,nom_harmonisé,Abbreviation,Abreviation,infobaseID,website,site_web,open_gov_ouvert,ati,pop,phoenix
2222,1,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada,AAFC,AAC,1,www.agr.gc.ca,www.agr.gc.ca,aafc-aac,Agriculture and Agri-Food Canada,AGR,AGR00
2223,135,Canadian Heritage,Patrimoine canadien,PCH,PCH,122,https://www.canada.ca/en/canadian-heritage.html,https://www.canada.ca/fr/patrimoine-canadien.html,pch,Canadian Heritage,PCH,PCH00
2224,50,"Immigration, Refugees and Citizenship Canada","Immigration, Réfugiés et Citoyenneté Canada",IRCC,IRCC,123,www.cic.gc.ca,www.cic.gc.ca,cic,Immigration Refugees and Citizenship Canada,IMC,IMC00
2225,6,Department of Finance Canada,Ministère des Finances Canada,FIN,FIN,124,https://www.canada.ca/en/department-finance.html,https://www.canada.ca/fr/ministere-finances.html,fin,Department of Finance Canada,FIN,FIN00
2226,86,Fisheries and Oceans Canada,Pêches et Océans Canada,DFO,MPO,125,www.dfo-mpo.gc.ca,www.dfo-mpo.gc.ca,dfo-mpo,Fisheries and Oceans Canada,DFO,DFO00
2227,5,Global Affairs Canada,Affaires mondiales Canada,GAC,AMC,126,www.international.gc.ca,www.international.gc.ca,dfatd-maecd,Global Affairs Canada,EXT,EXT00
2228,22,Health Canada,Santé Canada,HC,SC,127,www.canada.ca/en/health-canada.html,www.canada.ca/fr/sante-canada.html,hc-sc,Health Canada,SHC,NHW00
2229,14,Employment and Social Development Canada,Emploi et Développement social Canada,ESDC,EDSC,128,www.canada.ca/en/employment-social-development.html,www.canada.ca/fr/emploi-developpement-social.html,esdc-edsc,Employment and Social Development Canada,CSD,CSD00
2230,42,Crown-Indigenous Relations and Northern Affairs Canada,Relations Couronne-Autochtones et Affaires du Nord Canada,CIRNAC,RCAANC,129,https://www.canada.ca/en/crown-indigenous-relations-northern-affairs.html,https://www.canada.ca/fr/relations-couronne-autochtones-affaires-nord.html,aandc-aadnc,Crown-Indigenous Relations and Northern Affairs Canada,IAN,IAN00
2231,33,"Innovation, Science and Economic Development Canada","Innovation, Sciences et Développement économique Canada",ISED,ISDE,130,www.ic.gc.ca,www.ic.gc.ca,ic,Innovation Science and Economic Development Canada,DUS,DUS00
2232,13,Department of Justice Canada,Ministère de la Justice Canada,JUS,JUS,132,www.justice.gc.ca,www.justice.gc.ca,jus,Department of Justice Canada,JUS,JUS00
2233,18,National Defence,Défense nationale,DND,MDN,133,www.forces.gc.ca,www.forces.gc.ca,dnd-mdn,National Defence,DND,DND00
2234,41,Natural Resources Canada,Ressources naturelles Canada,NRCan,RNCan,134,www.nrcan-rncan.gc.ca,www.nrcan-rncan.gc.ca,nrcan-rncan,Natural Resources Canada,RSN,RSN00
2235,88,Public Safety Canada,Sécurité publique Canada,PS,SP,135,www.publicsafety.gc.ca,www.securitepublique.gc.ca,ps-sp,Public Safety Canada,PSP,PSP00
2236,127,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,PSPC,SPAC,136,www.tpsgc-pwgsc.gc.ca,www.tpsgc-pwgsc.gc.ca,pwgsc-tpsgc,Public Services and Procurement Canada,SVC,SVC00
2237,7,Environment and Climate Change Canada,Environnement et Changement climatique Canada,ECCC,ECCC,137,www.canada.ca/en/environment-climate-change.html,www.canada.ca/fr/environnement-changement-climatique.html,ec,Environment and Climate Change Canada,DOE,DOE00
2238,34,Transport Canada,Transports Canada,TC,TC,138,www.tc.gc.ca,www.tc.gc.ca,tc,Transport Canada,MOT,MOT00
2239,21,Veterans Affairs Canada,Anciens Combattants Canada,VAC,ACC,139,www.veterans.gc.ca,www.veterans.gc.ca,vac-acc,Veterans Affairs Canada,DVA,DVA00
