GC OrgID,Organization Legal Name English,Organization Legal Name French,Unnamed: 0,French Name,FAA
3702.0,2010 Games Operating Trust Society,Société du legs des Jeux de 2010,,,
3599.0,Aboriginal Business Canada,Entreprise autochtone Canada,,,
3518.0,Aboriginal Healing Foundation,Fondation autochtone de guérison,,,
2297.0,Administrative Tribunals Support Service of Canada,Service canadien d'appui aux tribunaux administratifs,0.0,Service canadien d’appui aux tribunaux administratifs,4
3399.0,African Development Bank,Banque africaine de développement,,,
3600.0,"Appeal Board, Hazardous Materials Information Review Act","Commission d'appel, Loi sur le contrôle des renseignements relatifs aux matières dangereuses",,,
3437.0,Asia-Pacific Foundation of Canada,Fondation Asie-Pacifique du Canada,,,
3400.0,Asian Development Bank,Banque asiatique de développement,,,
3414.0,Asian Infrastructure Investment Bank,Banque asiatique d'investissement dans les infrastructures,,,
3664.0,Assisted Human Reproduction Agency of Canada,Agence canadienne de contrôle de la procréation assistée,,,
3438.0,Association of Canada Lands Surveyors,Association des Arpenteurs des Terres du Canada,,,
2244.0,Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique,1.0,Agence de promotion économique du Canada atlantique,4
3654.0,Atlantic Pilotage Authority,Administration de pilotage de l’Atlantique,0.0,Administration de pilotage de l’Atlantique,3
3649.0,Atomic Energy of Canada Limited,Énergie atomique du Canada limitée,1.0,"Énergie atomique du Canada, Limitée",3
3435.0,Aéroport de Québec Inc.,Aéroport de Québec Inc.,,,
3436.0,Aéroports de Montréal,Aéroports de Montréal,,,
3633.0,Bank of Canada,Banque du Canada,,,
3552.0,Bank of Canada Museum,Musée de la Banque du Canada,,,
3439.0,Belledune Port Authority,Administration portuaire de Belledune,,,
3665.0,Blue Water Bridge Authority,Administration du pont Blue Water,,,
3440.0,Buffalo and Fort Erie Public Bridge Authority,Buffalo and Fort Erie Public Bridge Authority,,,
3646.0,Business Development Bank of Canada,Banque de développement du Canada,2.0,Banque de développement du Canada,3
3539.0,CORCAN,CORCAN,,,
3441.0,Calgary Airport Authority,Administration aéroportuaire de Calgary,,,
3679.0,Canada Agricultural Review Tribunal,Commission de révision agricole du Canada,,,
3553.0,Canada Agriculture and Food Museum,Musée de l'agriculture et de l'alimentation du Canada,,,
3554.0,Canada Aviation and Space Museum,Musée de l'aviation et de l'espace du Canada,,,
2300.0,Canada Border Services Agency,Agence des services frontaliers du Canada,2.0,Agence des services frontaliers du Canada,4
3601.0,Canada Centre for Inland Waters,Centre canadien des eaux intérieures,,,
3519.0,Canada Commonwealth Legacy Fund,Fonds du legs des Jeux du Commonwealth,,,
3618.0,Canada Council for the Arts,Conseil des Arts du Canada,,,
3634.0,Canada Deposit Insurance Corporation,Société d’assurance-dépôts du Canada,3.0,Société d’assurance-dépôts du Canada,3
3635.0,Canada Development Investment Corporation,La Corporation de développement des investissements du Canada,,,
2301.0,Canada Emission Reduction Incentives Agency,Agence canadienne pour l'incitation à la réduction des émissions,4.0,Agence canadienne pour l’incitation à la réduction des émissions,4
2302.0,Canada Employment Insurance Commission,Commission de l'assurance-emploi du Canada,2.0,Commission de l’assurance-emploi du Canada,2
3666.0,Canada Employment Insurance Financing Board,Office de financement de l’assurance-emploi du Canada,,,
3555.0,Canada Firearms Centre,Centre des armes à feu Canada,,,
3443.0,Canada Foundation for Innovation,Fondation canadienne pour l’innovation,,,
3444.0,Canada Foundation for Sustainable Development Technology,Fondation du Canada pour l’appui technologique au développement durable,,,
3445.0,Canada Games Council,Conseil des Jeux du Canada,,,
3446.0,Canada Health Infoway Inc.,Inforoute Santé du Canada Inc.,,,
3680.0,Canada Industrial Relations Board,Conseil canadien des relations industrielles,,,
3642.0,Canada Infrastructure Bank,Banque de l’infrastructure du Canada,4.0,Banque de l’infrastructure du Canada,3
3421.0,Canada Investment and Savings,Placements Épargne Canada,0.0,Placements Épargne Canada,5
