GC OrgID,legal_title,appellation_légale,FAA_LGFP,preferred_name,nom_préféré,abbreviation,abreviation,status_statut,end_date_fin,harmonized_name,nom_harmonisé
2222,Department of Agriculture and Agri-Food,Ministère de l'Agriculture et de l'Agroalimentaire,1,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada,AAFC,AAC,a,,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada
2223,Department of Canadian Heritage,Ministère du Patrimoine canadien,1,Canadian Heritage,Patrimoine canadien,PCH,PCH,a,,Canadian Heritage,Patrimoine canadien
2224,Department of Citizenship and Immigration,Ministère de la Citoyenneté et de l'Immigration,1,"Immigration, Refugees and Citizenship Canada","Immigration, Réfugiés et Citoyenneté Canada",IRCC,IRCC,a,,"Immigration, Refugees and Citizenship Canada","Immigration, Réfugiés et Citoyenneté Canada"
2225,Department of Finance,Ministère des Finances,1,Department of Finance Canada,Ministère des Finances Canada,FIN,FIN,a,,Department of Finance Canada,Ministère des Finances Canada
2226,Department of Fisheries and Oceans,Ministère des Pêches et des Océans,1,Fisheries and Oceans Canada,Pêches et Océans Canada,DFO,MPO,a,,Fisheries and Oceans Canada,Pêches et Océans Canada
2227,"Department of Foreign Affairs, Trade and Development","Ministère des Affaires étrangères, du Commerce et du Développement",1,Global Affairs Canada,Affaires mondiales Canada,GAC,AMC,a,,Global Affairs Canada,Affaires mondiales Canada
2228,Department of Health,Ministère de la Santé,1,Health Canada,Santé Canada,HC,SC,a,,Health Canada,Santé Canada
2229,Department of Employment and Social Development,Ministère de l'Emploi et du Développement social,1,Employment and Social Development Canada,Emploi et Développement social Canada,ESDC,EDSC,a,,Employment and Social Development Canada,Emploi et Développement social Canada
2230,Department of Crown-Indigenous Relations and Northern Affairs,Ministère des Relations Couronne-Autochtones et des Affaires du Nord,1,Crown-Indigenous Relations and Northern Affairs Canada,Relations Couronne-Autochtones et Affaires du Nord Canada,CIRNAC,RCAANC,a,,Crown-Indigenous Relations and Northern Affairs Canada,Relations Couronne-Autochtones et Affaires du Nord Canada
2231,Department of Industry,Ministère de l'Industrie,1,"Innovation, Science and Economic Development Canada","Innovation, Sciences et Développement économique Canada",ISED,ISDE,a,,"Innovation, Science and Economic Development Canada","Innovation, Sciences et Développement économique Canada"
2232,Department of Justice,Ministère de la Justice,1,Department of Justice Canada,Ministère de la Justice Canada,JUS,JUS,a,,Department of Justice Canada,Ministère de la Justice Canada
2233,Department of National Defence,Ministère de la Défense nationale,1,National Defence,Défense nationale,DND,MDN,a,,National Defence,Défense nationale
2234,Department of Natural Resources,Ministère des Ressources naturelles,1,Natural Resources Canada,Ressources naturelles Canada,NRCan,RNCan,a,,Natural Resources Canada,Ressources naturelles Canada
2235,Department of Public Safety and Emergency Preparedness,Ministère de la Sécurité publique et de la Protection civile,1,Public Safety Canada,Sécurité publique Canada,PS,SP,a,,Public Safety Canada,Sécurité publique Canada
2236,Department of Public Works and Government Services,Ministère des Travaux publics et des Services gouvernementaux,1,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,PSPC,SPAC,a,,Public Services and Procurement Canada,Services publics et Approvisionnement Canada
2237,Department of the Environment,Ministère de l'Environnement,1,Environment and Climate Change Canada,Environnement et Changement climatique Canada,ECCC,ECCC,a,,Environment and Climate Change Canada,Environnement et Changement climatique Canada
2238,Department of Transport,Ministère des Transports,1,Transport Canada,Transports Canada,TC,TC,a,,Transport Canada,Transports Canada
2239,Department of Veterans Affairs,Ministère des Anciens Combattants,1,Veterans Affairs Canada,Anciens Combattants Canada,VAC,ACC,a,,Veterans Affairs Canada,Anciens Combattants Canada
