GC OrgID,Organization Legal Name English,Organization Legal Name French,French Name,FAA,Original English Name,Names Match
3702.0,2010 Games Operating Trust Society,Société du legs des Jeux de 2010,,,,0
3599.0,Aboriginal Business Canada,Entreprise autochtone Canada,,,,0
3518.0,Aboriginal Healing Foundation,Fondation autochtone de guérison,,,,0
2297.0,Administrative Tribunals Support Service of Canada,Service canadien d'appui aux tribunaux administratifs,Service canadien d'appui aux tribunaux administratifs,4,Administrative Tribunals Support Service of Canada,0
3399.0,African Development Bank,Banque africaine de développement,,,,0
3600.0,"Appeal Board, Hazardous Materials Information Review Act","Commission d'appel, Loi sur le contrôle des renseignements relatifs aux matières dangereuses",,,,0
3437.0,Asia-Pacific Foundation of Canada,Fondation Asie-Pacifique du Canada,,,,0
3400.0,Asian Development Bank,Banque asiatique de développement,,,,0
3414.0,Asian Infrastructure Investment Bank,Banque asiatique d'investissement dans les infrastructures,,,,0
3664.0,Assisted Human Reproduction Agency of Canada,Agence canadienne de contrôle de la procréation assistée,,,,0
3438.0,Association of Canada Lands Surveyors,Association des Arpenteurs des Terres du Canada,,,,0
2244.0,Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique,Agence de promotion économique du Canada atlantique,4,Atlantic Canada Opportunities Agency,0
3654.0,Atlantic Pilotage Authority,Administration de pilotage de l'Atlantique,Administration de pilotage de l'Atlantique,3,Atlantic Pilotage Authority,0
3649.0,Atomic Energy of Canada Limited,Énergie atomique du Canada limitée,"Énergie atomique du Canada, Limitée",3,Atomic Energy of Canada Limited,0
3435.0,Aéroport de Québec Inc.,Aéroport de Québec Inc.,,,,0
3436.0,Aéroports de Montréal,Aéroports de Montréal,,,,0
3633.0,Bank of Canada,Banque du Canada,,,,0
3552.0,Bank of Canada Museum,Musée de la Banque du Canada,,,,0
3439.0,Belledune Port Authority,Administration portuaire de Belledune,,,,0
3665.0,Blue Water Bridge Authority,Administration du pont Blue Water,,,,0
3440.0,Buffalo and Fort Erie Public Bridge Authority,Buffalo and Fort Erie Public Bridge Authority,,,,0
3646.0,Business Development Bank of Canada,Banque de développement du Canada,Banque de développement du Canada,3,Business Development Bank of Canada,0
3539.0,CORCAN,CORCAN,,,,0
3441.0,Calgary Airport Authority,Administration aéroportuaire de Calgary,,,,0
3679.0,Canada Agricultural Review Tribunal,Commission de révision agricole du Canada,,,,0
3553.0,Canada Agriculture and Food Museum,Musée de l'agriculture et de l'alimentation du Canada,,,,0
3554.0,Canada Aviation and Space Museum,Musée de l'aviation et de l'espace du Canada,,,,0
2300.0,Canada Border Services Agency,Agence des services frontaliers du Canada,Agence des services frontaliers du Canada,4,Canada Border Services Agency,0
3601.0,Canada Centre for Inland Waters,Centre canadien des eaux intérieures,,,,0
3519.0,Canada Commonwealth Legacy Fund,Fonds du legs des Jeux du Commonwealth,,,,0
3618.0,Canada Council for the Arts,Conseil des Arts du Canada,,,,0
3634.0,Canada Deposit Insurance Corporation,Société d'assurance-dépôts du Canada,Société d'assurance-dépôts du Canada,3,Canada Deposit Insurance Corporation,0
3635.0,Canada Development Investment Corporation,La Corporation de développement des investissements du Canada,,,,0
2301.0,Canada Emission Reduction Incentives Agency,Agence canadienne pour l'incitation à la réduction des émissions,Agence canadienne pour l'incitation à la réduction des émissions,4,Canada Emission Reduction Incentives Agency,0
2302.0,Canada Employment Insurance Commission,Commission de l'assurance-emploi du Canada,Commission de l'assurance-emploi du Canada,2,Canada Employment Insurance Commission,0
3666.0,Canada Employment Insurance Financing Board,Office de financement de l'assurance-emploi du Canada,,,,0
